Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,26006,0,240,346.4279690716806,4.942690999996557,2615.115560999584,10016.110320695225,86.61845493078954,0.0,240,370,480,560,810,1100,1500,1700,2100,2500,2600
GET,GET /?currency=X,20921,0,240,345.29129111638946,5.3466600002138875,2616.2821890002306,10015.999283017065,69.68179249431084,0.0,240,370,480,560,810,1100,1400,1700,2200,2500,2600
GET,GET /?product_id=X,2577,0,250,364.50698261427874,5.289232999530213,2398.113145000025,10015.706247574699,8.583240727395395,0.0,250,390,500,610,850,1100,1500,1700,2100,2400,2400
GET,GET /cart,10275,0,120,163.73626085401088,6.29514000047493,1409.3119600001955,12066.17187347932,34.22304946604101,0.0,120,170,220,250,340,440,600,750,1100,1400,1400
GET,GET /product/[id],18202,0,100,136.33570322810505,6.447491000471928,1127.4496519999957,7573.9654982968905,60.62559088864997,0.0,100,140,180,200,280,350,490,620,920,1100,1100
POST,POST /cart (add),12748,0,190,256.8758721128838,13.837294999575533,1873.0372179998085,17304.98031063696,42.45989631076309,0.0,190,270,340,380,520,650,940,1100,1500,1700,1900
POST,POST /cart (pre-checkout add),5260,0,200,255.8687638906793,13.277676999678079,1758.141944000272,17344.893346007604,17.51953675828474,0.0,200,280,340,390,510,650,920,1100,1500,1800,1800
POST,POST /cart/checkout,5259,0,59,72.78679445312898,9.475563999330916,491.8759949996456,6431.489446662864,17.51620604787442,0.0,59,75,88,97,130,160,230,300,460,490,490
POST,POST /cart/empty,5278,0,260,394.76220931850133,7.9626730002928525,2392.1964689998276,9973.099280030314,17.579489545670505,0.0,260,410,550,640,910,1200,1600,1900,2300,2400,2400
POST,POST /setCurrency,7712,0,290,400.5330917593362,8.454014000562893,2385.8893189999435,10017.266338174273,25.686438684390097,0.0,290,430,540,640,880,1100,1500,1800,2200,2400,2400
,Aggregated,114238,0,170,275.8462781383965,4.942690999996557,2616.2821890002306,10795.250302001086,380.49369585416963,0.0,170,270,360,420,660,890,1200,1500,2000,2400,2600
