vm_count,config,vus,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,rps,failure_pct
1,1vm_distributed,1000,34.45400783369038,21,110,190,463.08345000034024,329.1774301784366,0.0
1,1vm_distributed,1250,101.92277542288075,89,250,350,614.1366720003134,400.1790483777566,0.0
1,1vm_distributed,1500,388.42892160622597,300,990,1500,2509.7181879973505,429.1704505726934,0.0
1,1vm_distributed,1750,461.2431274175113,400,930,1100,1817.0232010015752,487.5769997234621,0.0
1,1vm_distributed,2000,874.6281975848505,720,1800,2800,4479.790268000215,483.154804897071,0.0
1,1vm_distributed,500,4.611167757400443,4,8,14,54.64306000067154,166.57345780197136,0.0
1,1vm_distributed,750,11.774916647314493,9,31,56,257.1025979996193,248.92862854436515,0.0
1,1vm_frontend_colocated,1000,5.850173226367855,5,12,27,96.73828199993295,333.11663564225665,0.0
1,1vm_frontend_colocated,1250,8.926537612660242,6,23,48,185.20198900114337,415.48702750077086,0.0
1,1vm_frontend_colocated,1500,13.662446681826165,9,40,85,265.7715380009904,498.6568259655641,0.0
1,1vm_frontend_colocated,1750,26.140811750257573,16,83,140,323.31463800073834,579.0059631525284,0.0
1,1vm_frontend_colocated,2000,66.38422160366153,48,190,280,644.8917569996411,650.3886850156798,0.0
1,1vm_frontend_colocated,500,4.3966548021779435,4,7,14,60.3106430007756,166.47694733164724,0.0
1,1vm_frontend_colocated,750,4.988762051862075,4,9,21,85.90955799991207,250.8262554741861,0.0
1,1vm_monolith,1000,5.834829881995067,5,12,28,102.0674549999967,333.28179518296565,0.0
1,1vm_monolith,1250,7.270207734677735,6,17,38,120.12399899867887,416.3215231781544,0.0
1,1vm_monolith,1500,11.118738117421715,7,30,74,327.6096530007635,498.8708008067489,0.0
1,1vm_monolith,1750,21.509604680671675,12,69,140,548.4125659986603,578.5776652800296,0.0
1,1vm_monolith,2000,43.6561712930159,27,140,210,451.6664419988956,655.5165163149371,0.0
1,1vm_monolith,500,4.377196756540019,4,7,14,61.21086200073478,166.55976969479073,0.0
1,1vm_monolith,750,5.024874305081087,4,9,21,81.58874299988383,249.92657977623523,0.0
1,1vm_two_colocated,1000,6.37627188620505,5,14,31,100.09601300043869,332.60771757677196,0.0
1,1vm_two_colocated,1250,8.328463207635545,6,20,43,156.86808200007363,416.0429907166389,0.0
1,1vm_two_colocated,1500,13.330713912312662,9,39,78,308.7478569996165,498.26363543839653,0.0
1,1vm_two_colocated,1750,25.85662100657843,15,84,150,332.8959520003991,578.4165447385136,0.0
1,1vm_two_colocated,2000,63.84410322918952,47,180,270,458.12060800017207,649.3738706004333,0.0
1,1vm_two_colocated,500,4.606369040083924,4,8,14,62.235114000941394,166.538524702313,0.0
1,1vm_two_colocated,750,5.293945981050213,4,10,21,117.37375799930305,250.98233065859867,0.0
