procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 989088 106812 1930976   0    0     0     0 3101 5495  3  4 93  0  0  0
 3  0      0 989088 106812 1930976   0    0     0    24 3600 5138  4  2 94  0  0  0
 0  0      0 989088 106812 1930976   0    0     0    16 3261 4166  3  4 94  0  0  0
 0  0      0 989088 106816 1930972   0    0     0    68 3623 6003  4  3 92  0  0  0
 0  0      0 989088 106816 1930980   0    0     0     0 3009 4772  2  3 95  0  0  0
 0  0      0 989088 106816 1930980   0    0     0    28 3662 6106  7  6 87  0  0  0
 0  0      0 989088 106816 1930984   0    0     0     0 3405 5268  3  3 94  0  0  0
 0  0      0 989088 106820 1930988   0    0     0   136 3766 5819  6  4 91  0  0  0
 0  0      0 989088 106820 1930988   0    0     0     4 3389 5200  4  3 93  0  0  0
 0  0      0 989088 106820 1930988   0    0     0    24 3598 6573  7  5 87  0  0  0
 0  0      0 989088 106820 1930988   0    0     0     0 3562 5654  4  4 92  0  0  0
 0  0      0 989088 106824 1930996   0    0     0   152 4385 7878  7  4 88  1  0  0
 0  0      0 989088 106828 1931000   0    0     0    44 3650 6036  5  3 91  0  0  0
 0  0      0 989088 106828 1931000   0    0     0    28 4374 8016  8  6 86  0  0  0
 0  0      0 989088 106828 1931000   0    0     0   196 3752 6157  4  4 92  0  0  0
 0  0      0 989088 106828 1931000   0    0     0    28 3543 5913  5  4 91  0  0  0
 4  0      0 985560 106828 1931000   0    0     0     4 3493 5856  5  4 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 985560 106836 1931000   0    0     0   172 3839 6956  5  3 92  0  0  0
 2  0      0 985560 106836 1931004   0    0     0     0 3220 4844  3  3 94  0  0  0
 0  0      0 985560 106836 1931004   0    0     0    24 3789 6817  8  5 86  0  0  0
 2  0      0 985560 106836 1931004   0    0     0     0 3152 5071  2  3 95  0  0  0
 0  0      0 985560 106844 1931000   0    0     0    52 3685 5807  4  4 92  0  0  0
 0  0      0 985560 106844 1931008   0    0     0    48 3628 5500  3  4 93  0  0  0
 0  0      0 985560 106844 1931008   0    0     0    28 3607 6283  5  4 90  1  0  0
 0  0      0 985560 106844 1931008   0    0     0     0 3144 4490  3  3 94  0  0  0
 0  0      0 985560 106844 1931008   0    0     0    28 3756 5988  5  4 91  0  0  0
 0  0      0 985560 106852 1931024   0    0     0   124 3885 6446  6  3 91  0  0  0
 0  0      0 985320 106860 1931020   0    0     0    92 3728 6026  5  4 91  0  0  0
 0  0      0 985068 106860 1931032   0    0     0    24 3312 5370  3  3 95  0  0  0
 0  0      0 985068 106860 1931032   0    0     0    36 3774 7299  7  6 87  0  0  0
 0  0      0 985068 106860 1931032   0    0     0     0 3252 4700  3  2 95  0  0  0
 0  0      0 985068 106864 1931028   0    0     0    84 3729 6341  4  4 92  0  0  0
 0  0      0 985068 106864 1931040   0    0     0    16 3139 5062  3  2 95  0  0  0
 1  0      0 984312 106864 1931040   0    0     0    28 3475 6331  4  4 92  0  0  0
 4  0      0 984312 106864 1931040   0    0     0     0 3020 5106  3  2 95  0  0  0
 1  0      0 984312 106868 1931036   0    0     0    56 3592 6405  5  4 90  0  0  0
 1  0      0 984312 106868 1931044   0    0     0    16 3423 6727  3  3 94  0  0  0
 0  0      0 984312 106868 1931044   0    0     0    60 3550 5891  4  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 982548 106868 1931044   0    0     0    48 3406 5510  3  4 93  0  0  0
 0  0      0 982548 106872 1931040   0    0     0    52 4080 7377  6  4 89  1  0  0
 0  0      0 982548 106872 1931048   0    0     0     0 3083 4761  3  2 95  0  0  0
 0  0      0 982548 106876 1931056   0    0     0   160 4163 7332  7  4 89  0  0  0
 0  0      0 982548 106876 1931056   0    0     0    16 3609 6210  5  3 92  0  0  0
 0  0      0 981036 106876 1931056   0    0     0    28 3524 6388  9  4 87  0  0  0
 0  0      0 981036 106876 1931056   0    0     0     0 3361 5601  4  3 94  0  0  0
 0  0      0 981036 106876 1931056   0    0     0    64 3722 6721  5  4 91  0  0  0
 0  0      0 981036 106876 1931060   0    0     0     0 3506 5143  5  2 93  0  0  0
 0  0      0 981036 106876 1931060   0    0     0    60 3798 6555  5  4 91  0  0  0
 0  0      0 981036 106880 1931064   0    0     0    76 3456 5604  4  4 92  0  0  0
 0  0      0 981036 106880 1931064   0    0     0     4 4007 7564  7  5 87  0  0  0
 0  0      0 981036 106880 1931068   0    0     0    24 3151 5040  3  4 92  0  0  0
 1  0      0 981036 106880 1931068   0    0     0     8 3398 5252  3  3 94  0  0  0
 0  0      0 981036 106880 1931068   0    0     0    40 3506 6436  3  3 93  0  0  0
 3  0      0 980532 106892 1931056   0    0     0    44 3567 6182  5  4 91  1  0  0
 2  0      0 980532 106892 1931072   0    0     0    24 3418 5790  3  3 95  0  0  0
 1  0      0 980532 106892 1931072   0    0     0     0 3546 6114  6  4 90  0  0  0
 0  0      0 980532 106904 1931084   0    0     0   152 3805 6661  6  3 91  0  0  0
 0  0      0 980532 106904 1931084   0    0     0    36 3478 5685  4  3 92  0  0  0
 1  0      0 980532 106912 1931088   0    0     0   112 3531 5725  4  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 980280 106912 1931088   0    0     0     0 3841 7588  4  5 91  0  0  0
 0  0      0 980280 106912 1931088   0    0     0    44 3272 5793  4  2 95  0  0  0
 0  0      0 980280 106912 1931088   0    0     0     0 3101 4827  3  2 95  0  0  0
 0  0      0 980280 106912 1931088   0    0     0    36 3421 6054  3  4 93  0  0  0
 0  0      0 980280 106912 1931088   0    0     0     0 3316 5794  3  3 94  0  0  0
 0  0      0 980280 106924 1931092   0    0     0    80 3405 5734  3  2 95  0  0  0
 0  0      0 980280 106924 1931092   0    0     0     0 3493 5606  6  4 90  0  0  0
 0  0      0 980280 106924 1931092   0    0     0    28 3412 5774  3  3 93  0  0  0
 0  0      0 980280 106924 1931092   0    0     0    32 3255 5306  4  4 92  1  0  0
 1  0      0 980280 106924 1931096   0    0     0    80 3520 5471  3  4 93  0  0  0
 0  0      0 980280 106924 1931096   0    0     0    44 4054 6997  7  5 88  0  0  0
 0  0      0 980280 106924 1931100   0    0     0    28 3475 5370  3  4 93  0  0  0
 0  0      0 980280 106936 1931108   0    0     0   124 3988 6555  5  4 90  0  0  0
 2  0      0 980280 106936 1931108   0    0     0    44 3633 5605  5  4 91  0  0  0
 0  0      0 980280 106936 1931108   0    0     0     0 3309 5587  4  2 94  0  0  0
 1  0      0 980280 106936 1931112   0    0     0    52 3664 5509  4  4 91  0  0  0
 1  0      0 980280 106936 1931112   0    0     0     0 3894 7223  7  4 89  0  0  0
 0  0      0 980280 106936 1931112   0    0     0    36 3551 6183  5  4 91  0  0  0
 0  0      0 980280 106936 1931112   0    0     0    36 3365 5013  4  3 92  0  0  0
 0  0      0 980280 106936 1931116   0    0     0   100 3476 5542  4  4 91  1  0  0
 0  0      0 980280 106936 1931116   0    0     0     0 3640 6598  6  6 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 980280 106936 1931116   0    0     0    24 3224 4423  3  3 94  0  0  0
 0  0      0 980280 106936 1931116   0    0     0     0 3199 4755  3  3 94  0  0  0
 0  0      0 980280 106936 1931116   0    0     0    44 3608 5999  4  3 93  0  0  0
 0  0      0 980280 106936 1931116   0    0     0     4 3220 5121  2  1 97  0  0  0
 0  0      0 980280 106936 1931120   0    0     0    60 3355 6778  4  4 92  0  0  0
 0  0      0 980280 106936 1931120   0    0     0     0 3731 6546  6  4 90  0  0  0
 0  0      0 980056 106948 1931132   0    0     0   152 3939 6342  5  5 90  0  0  0
 0  0      0 980056 106948 1931132   0    0     0    32 3460 6311  3  3 94  0  0  0
 3  0      0 980056 106948 1931132   0    0     0    56 3453 6329  3  3 94  0  0  0
 0  0      0 980056 106948 1931136   0    0     0    36 3962 7084  7  5 88  0  0  0
 0  0      0 980056 106948 1931136   0    0     0    28 3440 5954  4  3 93  0  0  0
 0  0      0 980056 106948 1931136   0    0     0     0 3025 4950  3  2 95  0  0  0
 0  0      0 980056 106948 1931140   0    0     0    52 3265 5157  3  3 94  0  0  0
 0  0      0 980056 106948 1931140   0    0     0     0 3316 5788  3  4 93  0  0  0
 1  0      0 979804 106960 1931144   0    0     0    76 3523 6583  4  3 93  0  0  0
 0  0      0 979804 106960 1931144   0    0     0     0 3649 6426  5  4 91  0  0  0
 0  0      0 979804 106960 1931144   0    0     0    28 3532 6588  4  5 91  0  0  0
 0  0      0 979804 106960 1931144   0    0     0    36 3264 5246  3  2 94  1  0  0
 0  0      0 979804 106960 1931148   0    0     0    48 3553 5627  3  4 94  0  0  0
 0  0      0 979804 106960 1931148   0    0     0    68 4109 7014  7  7 86  0  0  0
 0  0      0 979804 106960 1931148   0    0     0    24 3372 5830  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 979804 106968 1931156   0    0     0   112 4473 7738  8  5 86  0  0  0
 2  0      0 979804 106976 1931160   0    0     0    80 3225 5753  4  3 92  0  0  0
 0  0      0 979804 106976 1931160   0    0     0     0 3156 4673  3  3 95  0  0  0
 0  0      0 979804 106976 1931160   0    0     0    28 3524 5587  3  3 93  0  0  0
 0  0      0 979580 106976 1931160   0    0     0     0 3790 6908  5  4 91  0  0  0
 1  0      0 979580 106976 1931160   0    0     0    32 3372 5232  4  3 93  0  0  0
 0  0      0 979580 106984 1931152   0    0     0    64 3088 4498  3  3 94  0  0  0
 0  0      0 979580 106988 1931164   0    0     0    52 3218 5659  3  2 95  0  0  0
 0  0      0 979580 106988 1931164   0    0     0    48 4298 7249  7  7 86  0  0  0
 0  0      0 979580 106988 1931164   0    0     0    28 3353 5868  3  3 94  0  0  0
 0  0      0 979580 106988 1931164   0    0     0     0 3341 5442  3  4 93  0  0  0
 0  0      0 979580 106992 1931168   0    0     0    84 2969 4173  2  2 96  0  0  0
 0  0      0 979580 106992 1931168   0    0     0     0 3040 5002  4  4 92  0  0  0
 0  0      0 979580 106992 1931172   0    0     0    28 3450 5704  4  4 92  1  0  0
 1  0      0 979580 106992 1931172   0    0     0     0 3477 6296  5  3 92  0  0  0
 0  0      0 979580 107000 1931180   0    0     0    92 3544 6267  6  5 89  0  0  0
 0  0      0 979580 107000 1931180   0    0     0    36 3361 5981  3  3 94  0  0  0
 0  0      0 979580 107000 1931184   0    0     0    52 3275 4828  3  3 94  0  0  0
 0  0      0 979580 107000 1931184   0    0     0    32 3883 6954  6  6 88  0  0  0
 0  0      0 979580 107000 1931184   0    0     0    24 3189 5574  3  2 96  0  0  0
 0  0      0 979580 107000 1931184   0    0     0     8 2954 4597  4  5 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 979580 107004 1931188   0    0     0    68 3089 4775  3  3 94  0  0  0
 0  0      0 979580 107004 1931188   0    0     0     0 2921 4434  3  2 95  0  0  0
 0  0      0 979580 107004 1931188   0    0     0    28 3043 5060  3  3 94  0  0  0
 0  0      0 979356 107004 1931188   0    0     0     0 3504 6028  5  3 91  0  0  0
 2  0      0 979356 107004 1931188   0    0     0    28 3226 5551  3  3 95  0  0  0
 0  0      0 979356 107012 1931192   0    0     0    64 3186 5623  4  2 94  1  0  0
 0  0      0 979356 107012 1931192   0    0     0    36 3256 5652  3  3 95  0  0  0
 0  0      0 979104 107012 1931192   0    0     0    36 3984 7272  5  6 88  0  0  0
 0  0      0 979104 107020 1931196   0    0     0    64 3258 5140  3  3 94  0  0  0
 3  0      0 979104 107020 1931200   0    0     0     0 3787 6396  6  3 91  0  0  0
 0  0      0 979104 107020 1931200   0    0     0    40 3404 6076  4  2 94  0  0  0
 0  0      0 979104 107020 1931200   0    0     0     0 3341 5583  5  3 92  0  0  0
 0  0      0 979104 107020 1931200   0    0     0    28 3571 5446  4  4 92  0  0  0
 0  0      0 979104 107020 1931204   0    0     0    16 3501 6592  4  3 94  0  0  0
 4  0      0 979104 107024 1931204   0    0     0    72 4117 6855  5  4 90  1  0  0
 3  0      0 979104 107024 1931208   0    0     0    32 3363 5226  4  2 95  0  0  0
 0  0      0 979104 107024 1931208   0    0     0    24 2960 5276  4  3 92  0  0  0
 1  0      0 979104 107032 1931204   0    0     0    76 3586 5575  5  4 90  0  0  0
 1  0      0 979104 107032 1931212   0    0     0    24 3877 7113  4  5 90  0  0  0
 1  0      0 979104 107032 1931212   0    0     0     8 3447 5450  4  3 93  0  0  0
 1  0      0 979104 107032 1931212   0    0     0    44 3555 6447  4  4 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 979104 107032 1931212   0    0     0     0 3095 5075  3  3 94  0  0  0
 0  0      0 978852 107036 1931208   0    0     0    52 3407 6099  4  4 92  0  0  0
 0  0      0 978852 107036 1931216   0    0     0     0 3582 6059  3  3 94  0  0  0
 5  0      0 978852 107036 1931216   0    0     0    36 3674 5936  5  4 91  0  0  0
 0  0      0 978852 107036 1931216   0    0     0    24 3494 5890  4  5 91  0  0  0
 0  0      0 978852 107036 1931216   0    0     0    36 3115 4842  4  2 94  0  0  0
 0  0      0 978600 107044 1931208   0    0     0   108 3442 5029  3  3 93  0  0  0
 0  0      0 978600 107044 1931220   0    0     0    48 3787 6530  5  6 89  0  0  0
 0  0      0 978600 107044 1931220   0    0     0     0 3360 5136  4  2 93  0  0  0
 0  0      0 978600 107044 1931220   0    0     0    40 3323 5911  4  3 92  1  0  0
 0  0      0 978600 107044 1931220   0    0     0     0 3387 6390  3  3 94  0  0  0
 0  0      0 978600 107044 1931220   0    0     0    52 3241 5508  4  3 93  0  0  0
 0  0      0 978600 107044 1931224   0    0     0     0 3366 5552  4  2 95  0  0  0
 5  0      0 978600 107044 1931224   0    0     0    36 3309 5927  4  3 93  0  0  0
 0  0      0 978600 107044 1931228   0    0     0    28 3169 5391  3  2 95  0  0  0
 0  0      0 978600 107048 1931224   0    0     0    48 2956 4944  2  3 95  0  0  0
 2  0      0 978600 107048 1931232   0    0     0    32 3220 5035  3  3 93  0  0  0
 1  0      0 978600 107048 1931232   0    0     0    48 3928 7554  6  5 89  0  0  0
 0  0      0 978600 107048 1931236   0    0     0     0 3361 6183  5  4 90  0  0  0
 0  0      0 978600 107052 1931232   0    0     0    72 3379 5761  8  3 90  0  0  0
 0  0      0 978600 107052 1931240   0    0     0     0 3355 6173  9  4 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 978600 107052 1931240   0    0     0    40 3552 5581  3  4 93  0  0  0
 0  0      0 978600 107052 1931240   0    0     0     0 3801 6302  4  3 92  0  0  0
 0  0      0 978600 107052 1931240   0    0     0    36 3614 5537  4  4 92  0  0  0
 1  0      0 978600 107052 1931240   0    0     0    32 3356 5421  4  3 92  0  0  0
 1  0      0 978600 107056 1931236   0    0     0    76 3461 6188  3  3 93  0  0  0
 0  0      0 978348 107056 1931244   0    0     0    24 3395 5018  4  3 92  1  0  0
 3  0      0 978348 107060 1931240   0    0     0    76 4065 8071  6  4 90  0  0  0
 1  0      0 978348 107060 1931248   0    0     0     0 3348 5869  4  3 93  0  0  0
 0  0      0 978348 107060 1931248   0    0     0    40 3270 5646  3  3 94  0  0  0
 1  0      0 978348 107060 1931248   0    0     0    16 3404 5381  3  2 95  0  0  0
 0  0      0 978348 107060 1931248   0    0     0    28 3345 5689  3  3 94  0  0  0
 0  0      0 978348 107060 1931248   0    0     0     0 3646 7658  4  3 93  0  0  0
 1  0      0 978348 107072 1931244   0    0     0   112 3751 6369  5  3 92  0  0  0
 1  0      0 978348 107072 1931252   0    0     0     0 3300 5021  3  2 95  0  0  0
 3  0      0 978348 107072 1931252   0    0     0    24 3056 5869  3  3 95  0  0  0
 1  0      0 978348 107072 1931256   0    0     0     0 3490 5543  4  4 92  0  0  0
 1  0      0 978348 107072 1931256   0    0     0   100 3732 6972  5  5 89  0  0  0
 1  0      0 978348 107072 1931260   0    0     0     8 3294 5200  4  3 93  0  0  0
 1  0      0 978124 107072 1931260   0    0     0    44 3469 5719  3  4 93  0  0  0
 2  0      0 978124 107072 1931260   0    0     0     0 3105 4601  3  2 95  0  0  0
 0  0      0 978124 107072 1931260   0    0     0    28 3250 5061  5  3 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 978124 107072 1931260   0    0     0     0 3440 5218  5  3 92  0  0  0
 0  0      0 978124 107088 1931244   0    0     0    76 3429 6065  4  3 93  0  0  0
 0  0      0 978124 107088 1931264   0    0     0    24 3127 5061  3  3 94  0  0  0
 0  0      0 978124 107088 1931264   0    0     0    28 3169 5129  3  3 94  0  0  0
 0  0      0 978124 107088 1931264   0    0     0    28 3372 4771  3  5 92  0  0  0
 0  0      0 978124 107092 1931268   0    0     0   100 3880 7752  8  7 85  1  0  0
 1  0      0 978124 107092 1931272   0    0     0     4 3724 5833  6  3 91  0  0  0
 0  0      0 978124 107092 1931272   0    0     0    40 3729 5853  3  4 93  0  0  0
 0  0      0 978124 107092 1931272   0    0     0     0 3550 5501  3  3 94  0  0  0
 0  0      0 978124 107096 1931268   0    0     0    76 3623 6814  4  4 92  0  0  0
 0  0      0 978124 107096 1931276   0    0     0     0 3569 5717  5  3 91  0  0  0
 2  0      0 977872 107096 1931276   0    0     0    36 3756 7057  7  6 87  0  0  0
 2  0      0 977872 107096 1931276   0    0     0    28 3318 5301  3  3 94  0  0  0
 1  0      0 977872 107096 1931276   0    0     0    24 3407 5546  4  3 93  0  0  0
 0  0      0 977872 107096 1931300   0    0     0     0 3515 6377  4  4 92  0  0  0
 2  0      0 977872 107112 1931308   0    0     0   136 3776 6212  5  4 90  0  0  0
 0  0      0 977624 107112 1931308   0    0     0     0 3374 5590  3  3 93  0  0  0
 0  0      0 977624 107120 1931300   0    0     0    68 3654 7060  5  3 91  1  0  0
 2  0      0 977624 107120 1931312   0    0     0     0 3408 5706  3  3 95  0  0  0
 0  0      0 977624 107120 1931312   0    0     0    28 3366 5910  3  4 92  0  0  0
 0  0      0 977624 107120 1931312   0    0     0    24 3580 5720  4  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 977624 107120 1931312   0    0     0    36 3720 6907  4  4 92  0  0  0
 0  0      0 977624 107120 1931312   0    0     0    24 3654 6275  4  3 93  0  0  0
 0  0      0 977624 107128 1931304   0    0     0    72 3461 5684  4  2 93  0  0  0
 0  0      0 977372 107128 1931316   0    0     0     0 3557 6661  4  4 92  0  0  0
 0  0      0 977372 107128 1931316   0    0     0    76 3831 7132  6  6 88  0  0  0
