Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11136,0,2,2.685293218926506,0.966916000834317,29.641367998920032,10014.791487068966,37.12109629397343,0.0,2,3,3,3,4,5,6,8,19,30,30
GET,GET /?currency=X,9127,0,2,2.7234744317895982,1.129674001276726,32.43646899863961,10016.131258902158,30.424231849415904,0.0,2,3,3,3,4,5,6,9,21,32,32
GET,GET /?product_id=X,1159,0,2,2.663956678187096,1.1254490000283113,21.2464739997813,10017.801553062985,3.8634474321762937,0.0,2,3,3,3,4,5,6,7,10,21,21
GET,GET /cart,4589,0,3,3.305319567440061,1.7935529995156685,106.70332900008361,12227.445195031598,15.297118435079389,0.0,3,3,4,4,4,5,6,8,19,110,110
GET,GET /product/[id],8089,0,3,2.804489705772396,1.5837850005482323,96.20929900120245,7576.667449622944,26.964129662531526,0.0,3,3,3,3,3,4,6,8,19,96,96
POST,POST /cart (add),5614,0,5,5.406061807451941,2.982126999995671,123.97035299909476,17387.726220163877,18.713886008833228,0.0,5,5,6,6,7,7,10,13,29,120,120
POST,POST /cart (pre-checkout add),2287,0,5,5.455381088769317,2.9317129992705304,101.20471099980932,17316.00480979449,7.623558479195154,0.0,5,5,6,6,6,7,10,16,32,100,100
POST,POST /cart/checkout,2287,0,4,4.159760726715143,2.656755999851157,92.04311099892948,6430.898557061653,7.623558479195154,0.0,4,4,4,5,5,6,7,8,12,92,92
POST,POST /cart/empty,2178,0,4,4.103765970635936,1.9771349998336518,92.77221400043345,9971.446280991735,7.260214415254501,0.0,4,4,4,5,5,7,9,12,22,93,93
POST,POST /setCurrency,3478,0,4,4.140038084524124,1.915151999128284,101.88469199965766,10016.32403680276,11.593675728308153,0.0,4,4,4,4,5,6,8,15,37,100,100
,Aggregated,49944,0,3,3.4314080970881706,0.966916000834317,123.97035299909476,10820.727955309947,166.48491678396275,0.0,3,4,4,4,5,6,7,10,24,100,120
