Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,27404,0,2800,2433.0308744293143,5.273585999930219,7608.946094000203,10012.104875200701,91.27723244705044,0.0,2800,3400,3700,3900,4400,4800,5700,6300,7300,7500,7600
GET,GET /?currency=X,21923,0,2800,2426.9704392162535,5.840003999765031,7770.892886000183,10012.275555352826,73.02111979771882,0.0,2800,3400,3700,3900,4400,4800,5600,6100,7200,7400,7800
GET,GET /?product_id=X,2738,0,2800,2412.8452815153373,6.0692229999403935,7415.258885000185,10011.525566106648,9.11972932564677,0.0,2800,3400,3700,3900,4400,4900,5700,6400,7200,7400,7400
GET,GET /cart,11108,0,930,999.6567548814385,7.4765730005310616,4137.311473000409,11925.430050414116,36.99852204137485,0.0,930,1100,1300,1400,1700,1900,2300,2700,3600,4100,4100
GET,GET /product/[id],19406,0,820,880.7456197680117,6.845397999313718,3747.3838619998787,7483.882974337834,64.63749718535472,0.0,820,970,1100,1200,1400,1700,2200,2600,3400,3700,3700
POST,POST /cart (add),13692,0,1600,1578.4788575607636,14.140894999400189,5249.828752999747,17317.5779287175,45.60530822744908,0.0,1600,1800,1900,2100,2400,2700,3300,3700,4500,5200,5200
POST,POST /cart (pre-checkout add),5501,0,1600,1576.135626195964,13.966722000077425,5268.659304000721,17277.633339392836,18.322728641483888,0.0,1600,1800,1900,2000,2400,2800,3300,3700,4500,5300,5300
POST,POST /cart/checkout,5500,0,230,269.59833176635834,6.78416900063894,1691.727346999869,6430.569818181818,18.319397841876274,0.0,230,300,350,380,480,590,740,880,1200,1700,1700
POST,POST /cart/empty,5307,0,3100,2668.7185784548674,11.681394999868644,8015.005078000286,9969.968908988129,17.6765535176068,0.0,3100,3700,3900,4100,4700,5200,6100,6700,7500,8000,8000
POST,POST /setCurrency,8024,0,3400,3098.7458924860434,10.553383999649668,7512.491135000346,10014.477691924227,26.726336051493675,0.0,3400,3800,4100,4200,4700,5300,6100,6600,7400,7500,7500
,Aggregated,120603,0,1300,1869.5756332125889,5.273585999930219,8015.005078000286,10777.292206661527,401.7044250770553,0.0,1300,2400,3100,3400,4000,4500,5200,5800,7200,7500,8000
