Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,39700,0,5,7.421765807556767,0.9604189999663504,235.34727199876215,10018.156095717884,132.29204894676195,0.0,5,7,8,9,14,20,32,43,110,150,240
GET,GET /?currency=X,31752,0,5,7.472300170422666,1.09843299833301,232.61208099938813,10018.811570924667,105.80698081001475,0.0,5,7,8,9,14,20,33,45,110,150,230
GET,GET /?product_id=X,4008,0,5,7.703804004997252,1.33986100081529,125.99312600104895,10016.938622754491,13.35583204480156,0.0,5,7,8,10,14,21,36,47,120,130,130
GET,GET /cart,15872,0,5,6.651528629154126,2.0080239992239513,128.74528400061536,12305.922694052419,52.89016123130997,0.0,5,6,7,8,10,15,28,39,95,120,130
GET,GET /product/[id],27668,0,4,5.748129047812618,1.7202070011990145,222.57374099899607,7579.342814804106,92.19789446496246,0.0,4,5,6,6,8,12,25,40,87,140,220
POST,POST /cart (add),19911,0,8,10.873620784286656,3.302283001175965,283.4896349995688,17362.351263120887,66.34929437226643,0.0,8,10,11,12,16,22,41,62,140,210,280
POST,POST /cart (pre-checkout add),7898,0,8,10.848008490249722,3.944339998270152,226.09341600036714,17392.20549506204,26.31845346552962,0.0,8,10,11,12,16,22,42,62,140,230,230
POST,POST /cart/checkout,7898,0,6,6.957549996704917,3.082265000557527,94.69665200049349,6432.038617371486,26.31845346552962,0.0,6,7,8,8,10,12,16,20,33,95,95
POST,POST /cart/empty,7992,0,7,9.975366688438514,2.027268999881926,230.48783199919853,9973.389764764765,26.63168904741868,0.0,7,9,11,12,17,25,40,50,130,230,230
POST,POST /setCurrency,11834,0,7,10.672454412717563,2.0934879994456423,265.52444200024183,10019.632668582051,39.43436038377786,0.0,7,9,11,12,18,26,47,74,160,200,270
,Aggregated,174533,0,6,7.967247691726515,0.9604189999663504,283.4896349995688,10846.9812241811,581.5951682323729,0.0,6,7,9,10,14,20,33,47,120,180,280
