procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1020728 93752 1917868   0    0     2   699 3568   30  4  3 93  0  0  0
 0  0      0 1020728 93752 1917868   0    0     0    44 3624 5787  2  3 95  0  0  0
 0  0      0 1020728 93752 1917868   0    0     0     0 3171 5962  2  2 96  0  0  0
 0  0      0 1019972 93776 1917844   0    0     0   236 4469 8666  6  4 89  0  0  0
 2  0      0 1019972 93776 1917884   0    0     0    32 3480 6104  2  2 96  0  0  0
 0  0      0 1019972 93776 1917888   0    0     0    56 3511 6162  2  3 95  0  0  0
 0  0      0 1019972 93776 1917888   0    0     0    20 3536 6196  2  3 95  0  0  0
 0  0      0 1019972 93780 1917884   0    0     0    68 3078 4417  2  1 97  0  0  0
 3  0      0 1019720 93780 1917892   0    0     0     0 3689 6234  3  2 95  0  0  0
 0  0      0 1019720 93780 1917892   0    0     0    28 3437 4897  3  2 95  0  0  0
 0  0      0 1019720 93780 1917892   0    0     0   324 3553 5410  3  2 96  0  0  0
 0  0      0 1019720 93780 1917892   0    0     0    48 3497 5481  2  2 96  0  0  0
 0  0      0 1019720 93780 1917892   0    0     0     0 3483 5162  3  2 95  0  0  0
 3  0      0 1019720 93784 1917888   0    0     0    64 3585 5510  3  2 95  1  0  0
 0  0      0 1019720 93784 1917896   0    0     0     0 3633 6514  4  3 94  0  0  0
 0  0      0 1019720 93784 1917896   0    0     0    36 3564 5723  3  2 95  0  0  0
 0  0      0 1019720 93784 1917900   0    0     0    24 3327 5470  2  2 96  0  0  0
 1  0      0 1019720 93784 1917900   0    0     0    44 3273 5349  2  2 97  0  0  0
 0  0      0 1019468 93788 1917900   0    0     0   164 4340 7659  5  3 91  0  0  0
 2  0      0 1019468 93788 1917912   0    0     0     4 3570 5779  6  2 91  0  0  0
 0  0      0 1019468 93788 1917912   0    0     0    92 3504 5972  6  2 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1019468 93788 1917912   0    0     0    36 3338 5620  2  2 96  0  0  0
