procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 1375548 51664 1729072   0    0  7600  3953 3948   36 17 25 57  1  0  0
17  0      0 1375324 51680 1729164   0    0    72   144 3665 6344 18 27 55  1  0  0
14  0      0 1375084 51688 1729212   0    0     0   124 5187 11280 15 14 70 1  0  0
 5  0      0 1372340 51864 1729332   0    0     0  1344 4141 8281  8 26 65  1  0  0
 1  0      0 1363016 51936 1731880   0    0  2316   392 5921 12872 7 14 78  0  0  0
 1  0      0 1361532 51936 1731996   0    0     0     0 4920 10404 7 13 80  0  0  0
 0  0      0 1359012 51936 1732032   0    0     0     0 5231 10784 6  8 86  0  0  0
 7  0      0 1356744 51936 1732104   0    0     0     0 4711 10170 8 17 75  0  0  0
 0  0      0 1356744 51936 1732140   0    0     0    20 5491 12342 6 11 84  0  0  0
 2  0      0 1354728 51944 1732216   0    0     0    24 5365 13750 8 16 77  0  0  0
 0  0      0 1354728 51944 1732280   0    0     0     0 6132 13924 6 11 83  0  0  0
 8  0      0 1349212 51944 1732356   0    0     0     0 5732 15573 13 29 58 0  0  0
 0  0      0 1348204 52196 1732308   0    0   160  1568 7289 17940 22 26 49 2  0  0
12  0      0 1347448 52196 1732364   0    0     0     0 6744 16595 11 18 71 0  0  0
 5  0      0 1347448 52196 1732464   0    0     0     0 5892 16059 10 27 63 0  0  0
 7  1      0 1346440 52196 1732544   0    0     0     0 7386 19185 14 23 63 0  0  0
 5  0      0 1346200 52204 1732824   0    0     0   104 5511 15305 12 32 56 0  0  0
 2  0      0 1344968 52204 1732924   0    0     0     0 6953 18753 11 29 60 0  0  0
 1  0      0 1344968 52204 1733064   0    0     0    20 6884 19080 11 29 60 0  0  0
15  0      0 1344240 52204 1733180   0    0     8   260 5513 16861 16 37 47 0  0  0
11  0      0 1343488 52204 1733300   0    0     0     0 6884 17995 13 27 60 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 1340996 52212 1733572   0    0   132    92 6532 19154 17 40 42 1  0  0
12  0      0 1337720 52220 1733708   0    0     0   120 4621 13928 25 51 23 0  0  0
 6  0      0 1336740 52220 1733824   0    0     0    24 6465 17915 11 39 50 0  0  0
 4  0      0 1336488 52220 1733996   0    0     0     0 9827 27866 13 27 59 0  0  0
28  0      0 1336488 52220 1734088   0    0     0     0 4625 12441 26 41 33 0  0  0
 7  0      0 1334036 52228 1734468   0    0    36    60 9239 25148 18 32 51 0  0  0
 1  0      0 1330256 52228 1734624   0    0     0     0 5692 17549 14 47 38 0  0  0
 1  0      0 1329028 52228 1734788   0    0     0    44 9510 25853 15 29 56 0  0  0
 7  0      0 1328524 52228 1734944   0    0     0     0 6159 17231 22 40 38 0  0  0
 0  0      0 1327544 52228 1735096   0    0     0    28 9964 27863 15 31 54 0  0  0
 8  0      0 1327040 52252 1735264   0    0     0   144 9411 24345 20 35 45 0  0  0
 8  0      0 1324800 52252 1735508   0    0   108    92 10647 29157 23 36 40 1 0  0
 7  0      0 1324324 52252 1735704   0    0     0    24 7352 21650 21 42 38 0  0  0
 5  0      0 1324324 52260 1735812   0    0     0  2944 8197 21136 16 39 45 0  0  0
 5  0      0 1323596 52260 1735980   0    0     0     0 9026 26883 17 38 45 0  0  0
 9  0      0 1323344 52260 1736100   0    0     0    24 9123 25743 16 30 54 0  0  0
 9  0      0 1321612 52260 1736236   0    0     0     0 5627 17187 19 49 32 0  0  0
 8  0      0 1321136 52260 1736388   0    0     0    48 7710 21978 21 44 35 0  0  0
 7  0      0 1320912 52268 1736552   0    0     0    40 6175 19655 17 48 36 0  0  0
 0  0      0 1320196 52276 1736740   0    0     0    56 7527 22704 18 35 47 0  0  0
 0  0      0 1319972 52276 1736860   0    0     0     0 6469 17902 19 38 42 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
28  0      0 1318264 52276 1737036   0    0     0    92 8466 24878 22 35 43 0  0  0
 7  0      0 1318264 52284 1737264   0    0   108    56 8085 22656 22 39 39 0  0  0
18  0      0 1318040 52284 1737448   0    0     0    24 7256 23363 19 43 38 0  0  0
 8  0      0 1316812 52284 1737608   0    0     0     0 5434 15686 19 49 32 0  0  0
 9  0      0 1315356 52292 1737732   0    0     0   104 5989 16568 25 51 24 0  0  0
 8  1      0 1313844 52292 1737920   0    0     0     8 4608 13022 27 53 20 0  0  0
 1  0      0 1313368 52300 1738072   0    0     0    72 6522 19514 20 45 35 0  0  0
 2  0      0 1313144 52300 1738168   0    0     0   264 6684 20916 16 40 44 0  0  0
 9  0      0 1313144 52300 1738332   0    0     0    28 8691 24049 18 44 38 0  0  0
 8  0      0 1312920 52300 1738464   0    0     0     0 5613 15572 20 44 37 0  0  0
 7  0      0 1310400 52308 1738616   0    0     0   136 9146 26867 21 30 49 1  0  0
 6  0      0 1309420 52308 1738776   0    0     0    24 6556 19820 18 46 36 0  0  0
14  0      0 1308920 52308 1738908   0    0     0    24 7391 20826 21 43 37 0  0  0
 1  0      0 1308668 52308 1739080   0    0     0     0 6029 20268 16 46 38 0  0  0
10  0      0 1308668 52316 1739188   0    0     0    60 8716 25234 15 33 51 0  0  0
 8  0      0 1308416 52316 1739344   0    0     0    20 6831 22595 18 39 43 0  0  0
 1  0      0 1308416 52316 1739488   0    0     0    28 9536 26164 17 36 47 0  0  0
 5  0      0 1308192 52316 1739636   0    0     0     0 5601 16982 18 42 40 0  0  0
 4  0      0 1307968 52316 1739780   0    0     0    28 9407 27492 19 38 43 0  0  0
 6  0      0 1307744 52332 1739948   0    0     0   104 8130 24167 19 32 49 0  0  0
10  0      0 1305000 52332 1740060   0    0     0    68 5757 17432 26 48 25 1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1305000 52332 1740248   0    0     0    48 9901 27573 21 40 39 0  0  0
 1  0      0 1304776 52340 1740364   0    0     0    56 6274 18864 24 53 23 0  0  0
 0  0      0 1304304 52340 1740512   0    0     0  4272 7634 22581 17 44 40 0  0  0
 6  0      0 1303576 52340 1740688   0    0     0    24 10399 28154 18 38 44 0 0  0
13  0      0 1299824 52340 1740796   0    0     0    20 6100 19732 20 45 35 0  0  0
 0  0      0 1299572 52352 1740992   0    0     0    80 9378 26183 16 33 52 0  0  0
 0  0      0 1299096 52352 1741124   0    0     0     0 7006 19677 16 42 42 0  0  0
11  0      0 1299096 52352 1741252   0    0     0    36 7515 21427 19 40 42 0  0  0
 6  0      0 1295880 52352 1741444   0    0    44     0 6014 17395 23 43 33 0  0  0
 5  0      0 1295880 52352 1741548   0    0     0    64 8932 23813 25 44 31 0  0  0
 0  0      0 1295432 52368 1741744   0    0     0   112 7949 23340 20 37 44 0  0  0
 7  0      0 1295432 52368 1741892   0    0     0    24 10519 30004 15 32 53 0 0  0
 0  0      0 1294960 52368 1741996   0    0     0     0 8975 24977 16 37 47 0  0  0
 1  0      0 1294736 52384 1742180   0    0     0   144 9312 24497 20 38 42 0  0  0
 3  0      0 1294512 52384 1742340   0    0     0    20 6249 20168 16 44 40 0  0  0
 0  0      0 1294288 52384 1742436   0    0     0    28 10027 27332 16 34 51 0 0  0
 0  0      0 1294288 52384 1742592   0    0     0     0 9221 26012 16 37 47 0  0  0
 8  0      0 1294288 52384 1742696   0    0     0    28 8592 25258 20 38 42 0  0  0
 6  0      0 1294064 52392 1742904   0    0    32    24 5415 16028 24 52 25 0  0  0
 2  0      0 1294064 52400 1743036   0    0     0    92 7700 21772 22 38 41 0  0  0
 3  0      0 1290848 52400 1743180   0    0     0    52 5832 18895 14 43 43 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0      0 1290372 52400 1743312   0    0     0    24 4822 16711 15 61 23 1  0  0
11  0      0 1289364 52400 1743456   0    0     0    32 8039 22575 20 48 31 0  0  0
 1  0      0 1288888 52408 1743640   0    0     0    60 9313 27272 18 35 47 0  0  0
 8  0      0 1288888 52408 1743740   0    0     0    20 9410 26753 14 30 56 0  0  0
 6  0      0 1288160 52408 1743904   0    0     0    28 8450 24422 20 36 44 0  0  0
11  0      0 1287684 52408 1744024   0    0     0     0 4952 15579 25 51 24 0  0  0
 0  0      0 1287684 52416 1744284   0    0    72    60 9144 26684 16 35 49 0  0  0
10  0      0 1287460 52424 1744432   0    0     0    88 5953 18609 23 44 33 0  0  0
12  0      0 1286736 52424 1744540   0    0     0    52 4767 13372 27 57 17 0  0  0
 9  0      0 1286512 52424 1744720   0    0     0    24 5090 14424 27 51 22 0  0  0
 4  0      0 1286288 52432 1744852   0    0     0    96 7086 21756 18 40 41 0  0  0
 6  0      0 1286064 52432 1744964   0    0     0  4256 4391 13874 18 40 41 0  0  0
 0  0      0 1285840 52432 1745148   0    0     0    24 7259 21912 21 44 35 0  0  0
