procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1017068 101452 1927316  0    0     2   566 3578   30  4  3 93  0  0  0
 0  0      0 1012532 101464 1927332  0    0     0   156 3741 6509  5  4 91  0  0  0
 0  0      0 1012532 101464 1927336  0    0     0    24 3518 6049  2  2 96  0  0  0
 0  0      0 1012532 101476 1927336  0    0     0   240 4294 7989  4  2 93  1  0  0
 0  0      0 1012532 101476 1927352  0    0     0    24 2983 4798  2  1 97  0  0  0
 0  0      0 1012280 101476 1927352  0    0     0     4 3331 5492  4  2 94  0  0  0
 0  0      0 1012280 101476 1927352  0    0     0    76 3661 6642  4  2 94  0  0  0
 1  0      0 1012280 101484 1927352  0    0     0    28 3427 6009  3  3 95  0  0  0
 0  0      0 1012280 101484 1927356  0    0     0    36 3640 6224  2  2 96  0  0  0
 4  0      0 1012280 101484 1927356  0    0     0     0 3301 4843  2  2 97  0  0  0
 0  0      0 1009508 101484 1927356  0    0     0    52 3513 5762  4  2 94  0  0  0
 0  0      0 1009508 101484 1927356  0    0     0     0 3025 4869  2  2 96  0  0  0
 0  0      0 1009508 101484 1927356  0    0     0    24 3083 5434  1  2 97  0  0  0
 0  0      0 1009508 101488 1927360  0    0     0    72 3414 6248  3  2 95  0  0  0
 0  0      0 1009508 101488 1927360  0    0     0    24 2968 4289  2  1 97  0  0  0
 0  0      0 1008752 101488 1927360  0    0     0     0 3295 5319  3  3 94  0  0  0
 0  0      0 1008500 101488 1927360  0    0     0    52 4016 6749  4  5 91  0  0  0
 0  0      0 1008500 101496 1927380  0    0     0    48 3512 5685  3  1 96  0  0  0
 0  0      0 1008248 101508 1927368  0    0     0   168 4076 6866  4  3 93  0  0  0
 1  0      0 1008248 101508 1927392  0    0     0     0 3525 5772  3  2 95  0  0  0
 1  0      0 1008248 101508 1927396  0    0     0    96 3945 6581  5  4 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1008248 101508 1927396  0    0     0     0 3275 5398  2  2 96  0  0  0
 1  0      0 1008248 101508 1927396  0    0     0    28 3378 5067  3  2 95  0  0  0
 0  0      0 1008248 101512 1927400  0    0     0    80 3408 5280  4  2 94  0  0  0
 4  0      0 1008248 101512 1927400  0    0     0    28 3323 5135  3  2 95  0  0  0
 3  0      0 1008248 101512 1927400  0    0     0     4 3172 5509  3  2 95  0  0  0
 1  0      0 1008248 101512 1927400  0    0     0    52 4065 6596  4  3 92  1  0  0
 2  0      0 1008248 101516 1927404  0    0     0    48 3098 4938  3  2 95  0  0  0
 5  0      0 1008248 101516 1927404  0    0     0    44 3557 5296  3  2 95  0  0  0
 3  0      0 1008248 101516 1927404  0    0     0     0 3442 4984  3  2 95  0  0  0
 1  0      0 1008248 101516 1927404  0    0     0    24 3926 6188  4  3 93  0  0  0
 0  0      0 1008248 101516 1927404  0    0     0     0 3189 4558  3  2 95  0  0  0
 0  0      0 1008248 101520 1927408  0    0     0    52 3600 5450  3  2 95  0  0  0
 0  0      0 1008248 101532 1927396  0    0     0   156 4290 7164  5  3 92  0  0  0
 0  0      0 1008248 101532 1927416  0    0     0    28 3307 4888  3  1 96  0  0  0
 0  0      0 1008248 101532 1927416  0    0     0     8 3456 5057  3  3 95  0  0  0
 0  0      0 1008248 101532 1927416  0    0     0    52 3946 6214  4  6 90  0  0  0
 0  0      0 1008248 101536 1927416  0    0     0    68 3365 5331  3  2 95  0  0  0
 0  0      0 1008248 101536 1927420  0    0     0    40 3336 5229  2  2 96  0  0  0
 0  0      0 1008248 101536 1927420  0    0     0     0 2989 4486  2  2 97  0  0  0
 0  0      0 1008248 101536 1927420  0    0     0    28 3716 6362  4  4 92  0  0  0
 0  0      0 1008248 101536 1927420  0    0     0   424 3188 4490  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1008248 101540 1927428  0    0     0    48 3379 5007  2  1 97  0  0  0
 0  0      0 1008248 101540 1927428  0    0     0    36 3652 6019  3  2 95  0  0  0
 0  0      0 1008248 101540 1927428  0    0     0    24 3535 5698  3  2 96  0  0  0
 0  0      0 1008248 101540 1927428  0    0     0     0 3588 5530  3  2 95  0  0  0
 3  0      0 1008248 101544 1927424  0    0     0    76 3846 6172  5  3 93  0  0  0
 0  0      0 1008248 101544 1927432  0    0     0    24 3341 5311  4  3 94  0  0  0
 0  0      0 1008248 101556 1927420  0    0     0   168 3811 5975  3  3 93  1  0  0
 0  0      0 1008248 101556 1927444  0    0     0     0 3529 5612  4  2 95  0  0  0
 0  0      0 1008248 101556 1927444  0    0     0    28 3993 7223  4  3 94  0  0  0
 0  0      0 1008248 101556 1927444  0    0     0     0 3400 6601  3  3 94  0  0  0
 0  0      0 1008248 101564 1927448  0    0     0    52 3312 6210  2  2 96  0  0  0
 0  0      0 1008248 101564 1927448  0    0     0    32 3304 4950  4  2 94  0  0  0
 1  0      0 1008248 101564 1927448  0    0     0    28 3538 5848  2  2 96  0  0  0
 1  0      0 1008248 101564 1927448  0    0     0     0 3431 5072  9  2 89  0  0  0
 4  0      0 1008248 101572 1927452  0    0     0    84 3517 5717  4  3 93  0  0  0
 6  0      0 1008248 101572 1927452  0    0     0    24 3892 7188  5  3 92  0  0  0
 0  0      0 1008248 101572 1927452  0    0     0    44 3759 5847  5  2 93  0  0  0
 0  0      0 1008248 101572 1927452  0    0     0     0 3477 6027  3  2 95  0  0  0
 0  0      0 1008248 101576 1927456  0    0     0    64 4207 7474  4  4 92  0  0  0
 0  0      0 1008248 101576 1927456  0    0     0     0 3554 6218  3  3 94  0  0  0
 0  0      0 1008248 101576 1927460  0    0     0    28 3521 6341  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1008248 101584 1927452  0    0     0   156 4093 7060  6  3 91  0  0  0
 0  0      0 1008248 101584 1927468  0    0     0    28 3438 5839  3  3 94  0  0  0
 0  0      0 1007996 101584 1927468  0    0     0     0 3533 5424  6  2 92  0  0  0
 0  0      0 1007996 101588 1927472  0    0     0    80 3206 5183  3  2 95  1  0  0
 0  0      0 1007996 101588 1927472  0    0     0    52 3913 6411  4  4 92  0  0  0
 1  0      0 1007996 101588 1927472  0    0     0    40 3441 5550  4  3 93  0  0  0
 0  0      0 1007996 101588 1927472  0    0     0     0 3135 5152  2  2 96  0  0  0
 0  0      0 1007996 101596 1927476  0    0     0    52 4034 6369  3  3 94  0  0  0
 0  0      0 1007996 101596 1927476  0    0     0     0 3278 5260  3  1 96  0  0  0
