Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,29800,0,250,304.74153500700515,3.907053996954346,1443.6875609972049,9960.416677852349,98.3578877400734,0.0,250,320,380,430,570,700,840,960,1200,1400,1400
GET,GET /?currency=X,23746,0,250,305.73328915728837,4.071282997756498,1419.5906380009546,9961.079887138887,78.37605376764373,0.0,250,320,380,430,580,710,840,980,1200,1400,1400
GET,GET /?product_id=X,2984,0,250,308.53398449299067,4.050042000017129,1388.1047950017091,9960.912198391421,9.848991175046276,0.0,250,320,390,440,580,720,870,990,1200,1400,1400
GET,GET /cart,11759,0,250,301.957729258607,3.9289880005526356,1492.264250999142,12138.67981971256,38.81175845421218,0.0,250,320,380,420,570,700,830,930,1100,1400,1500
GET,GET /product/[id],20674,0,250,303.15893121774303,4.370030001155101,1435.5557999988378,7550.866740833898,68.23660976974085,0.0,250,310,380,430,580,710,840,940,1200,1400,1400
POST,POST /cart (add),14583,0,510,619.0192548991874,7.413243998598773,2509.7181879973505,17336.93355276692,48.13265358770102,0.0,510,640,760,890,1200,1400,1700,1800,2200,2500,2500
POST,POST /cart (pre-checkout add),5846,0,500,611.3873087399874,7.490888998290757,2287.387313997897,17285.494184057476,19.295309118405005,0.0,500,620,750,870,1200,1400,1700,1800,2200,2300,2300
POST,POST /cart/checkout,5840,0,260,323.9563070346034,5.637131998810219,1353.9770460010914,6404.118664383562,19.2755055168466,0.0,260,340,400,460,630,750,890,1000,1300,1400,1400
POST,POST /cart/empty,5960,0,490,601.850604903829,6.824166001024423,2483.3146769997256,9917.561577181208,19.671577548014678,0.0,490,620,750,860,1200,1400,1600,1800,2200,2500,2500
POST,POST /setCurrency,8836,0,490,605.0519306931892,7.055090001813369,2477.5778250004805,9961.273879583521,29.16410389500968,0.0,490,620,740,870,1200,1400,1700,1800,2200,2500,2500
,Aggregated,130028,0,300,388.42892160622597,3.907053996954346,2509.7181879973505,10769.42638508629,429.1704505726934,0.0,300,410,490,550,740,990,1300,1500,2100,2300,2500
