procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1550940 16240 1333092   0    0   146   648 6973   87 16 16 68  0  0  0
 2  0      0 1498784 16264 1333464   0    0     8   164 9179 21754 24 30 46 0  0  0
 2  0      0 1445140 16264 1333880   0    0   148    28 8330 21071 26 35 39 0  0  0
 1  0      0 1391232 16264 1334340   0    0   140     0 11036 26726 25 34 40 0 0  0
10  0      0 1338660 16264 1334672   0    0     0    44 11733 30020 33 46 21 0 0  0
 0  0      0 1283272 16272 1335284   0    0   160    84 14791 39660 29 45 26 0 0  0
 6  0      0 1226152 16272 1335804   0    0   180    24 13622 33795 30 41 29 0 0  0
 8  0      0 1169540 16272 1336324   0    0     4     0 15798 42049 32 50 17 0 0  0
 3  0      0 1116944 16280 1336772   0    0    12    60 14805 37750 35 54 11 0 0  0
 0  0      0 1065388 16280 1337292   0    0     0    32 16897 44863 32 49 19 0 0  0
20  0      0 1011328 16280 1337788   0    0     0    28 17385 46278 37 53 10 0 0  0
16  0      0 954068  16280 1338436   0    0     0     0 17882 47798 37 52 12 0 0  0
12  0      0 897880  16280 1338860   0    0    72    24 14727 41509 40 52 8 1  0  0
 0  0      0 847772  16288 1339712   0    0    36    24 19152 53013 38 53 10 0 0  0
 6  0      0 795064  16296 1340172   0    0     0    76 14179 36286 40 54 6 0  0  0
16  0      0 736648  16304 1341120   0    0   124   128 17708 47569 42 57 2 0  0  0
26  0      0 682972  16320 1341952   0    0     0   156 13726 34999 45 54 1 1  0  0
10  0      0 622316  16320 1343040   0    0    72  5544 16641 49255 44 55 1 0  0  0
18  0      0 566852  16648 1343368   0    0   284   752 14150 38285 41 56 3 0  0  0
15  0      0 508156  16648 1344544   0    0   112    32 16035 44059 44 52 4 0  0  0
16  0      0 460348  16660 1345480   0    0    60   196 15308 41221 48 51 2 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  0      0 403300  16660 1346420   0    0    84     0 15231 40629 42 56 2 0  0  0
23  0      0 348744  16660 1347004   0    0     0    40 11912 30325 45 55 0 0  0  0
26  0      0 296252  16660 1348024   0    0     0     0 17772 46443 42 56 2 0  0  0
21  0      0 234280  16660 1348876   0    0     0    44 13881 37831 42 56 2 0  0  0
23  0      0 176952  16668 1350184   0    0    12    76 16837 47038 44 55 1 0  0  0
14  0      0 121980  16668 1350880   0    0     0    24 16109 41170 43 56 1 0  0  0
22  0      0 111276  13988 1310420   0    0  1084  6660 14874 40721 41 58 1 0  0  0
21  1      0 114944  10556 1252484   0    0 13804     0 13062 31457 37 62 1 0  0  0
21  0      0 113320   7836 1210100   0    0 28616  1016 16169 37629 40 58 2 1  0  0
28  0      0 106816   4040 1155948   0    0 39084   756 11249 21374 35 65 0 0  0  0
16  0      0  98072   2200 1145640   0    0 355228  308 16276 19601 17 81 0 2  0  0
17  0      0 106688   2264 1126540   0    0 190436  612 16163 28443 30 69 1 1  0  0
16  0      0 122404   2200 1108432   0    0 205880  840 18405 41204 31 68 1 1  0  0
 7  0      0 107380   2216 1122040   0    0 232264  200 13747 17110 18 79 1 2  0  0
10  1      0 103020   2196 1121048   0    0 386920  268 19272 21745 19 79 1 1  0  0
 5  0      0 107756   2232 1112672   0    0 413556   52 17144 16064 16 82 1 1  0  0
13  1      0 105604   2236 1106812   0    0 368228  252 18622 22735 19 79 0 2  0  0
30  0      0 103976   3328 1103928   0    0 395316  112 16253 16264 14 84 1 2  0  0
19  0      0  99836   2212 1110384   0    0 452368  320 19617 21690 14 84 1 2  0  0
13  0      0 124536   2124 1084956   0    0 327284  336 15497 22842 16 83 1 1  0  0
14  0      0 116608   2184 1094260   0    0 484032  128 19037 18410 14 86 0 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  1      0  95120   2208 1112976   0    0 503316  184 19916 18630 11 87 1 2  0  0
17  1      0 125556   2176 1083324   0    0 506928  200 20189 18624 12 87 0 1  0  0
14  0      0 112968   2200 1096328   0    0 290272  432 15399 24337 20 79 0 2  0  0
 0  7      0 115000   2180 1094768   0    0 439236   52 17467 15088 12 86 1 2  0  0
23  1      0 100424   2224 1108640   0    0 511052   48 18930 11341 9 89 0  3  0  0
31  4      0 107284   2276 1101168   0    0 491944   72 19266 14604 13 86 0 1  0  0
19  2      0  96180   2864 1110692   0    0 454056  160 18067 14772 10 88 0 2  0  0
10  1      0  89576   2264 1118864   0    0 487876  144 18368 16537 9 89 1  2  0  0
11  0      0  89296   2248 1119776   0    0 492312  224 17909 14516 8 90 0  2  0  0
10  0      0  92008   2368 1118368   0    0 521912   56 20186 14897 9 89 0  2  0  0
14  0      0 108500   2220 1101216   0    0 511136   68 21014 14631 9 89 0  2  0  0
20  0      0 108532   2232 1099980   0    0 432368  204 18632 21390 17 83 0 0  0  0
13  0      0  95096   2240 1109208   0    0 344184  320 16135 23478 18 80 1 2  0  0
11  0      0 100424   2268 1103540   0    0 456696   24 18629 18958 11 88 1 1  0  0
13  0      0 117160   2236 1086756   0    0 415592   28 16233 13725 10 88 1 1  0  0
28  0      0 111720   2308 1092380   0    0 545044  100 17295 14804 8 90 0  2  0  0
28  1      0 106644   2512 1097336   0    0 532532    0 14997 12796 9 91 0  0  0  0
21  0      0 113360   2268 1092112   0    0 631828    0 17731 14601 8 91 0  1  0  0
19  0      0 111752   2264 1092472   0    0 650060    4 15801 13011 5 94 0  1  0  0
20  0      0 116484   2224 1088008   0    0 581324   52 13973 11929 6 89 1  5  0  0
26  0      0 108888   2212 1094952   0    0 598652   52 14338 11702 7 93 0  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  1      0 119300   2208 1086596   0    0 626980    0 14885 12315 6 93 0  1  0  0
19  0      0 113300   2288 1090724   0    0 684184  124 17761 16197 7 91 0  2  0  0
14  2      0 108428   2268 1096296   0    0 693680    8 16747 12411 5 93 0  2  0  0
22  0      0 110248   2248 1094660   0    0 548240   48 15390 11943 5 93 0  2  0  0
23  0      0 113544   2244 1089992   0    0 632944  104 15630 12547 6 93 0  2  0  0
14  1      0 104392   2204 1097984   0    0 608936   40 14654 12293 6 91 1  3  0  0
23  0      0 113624   2304 1088732   0    0 560304    0 15088 12813 9 90 0  1  0  0
15  0      0 119360   2292 1085348   0    0 612036    8 16213 12475 8 92 0  1  0  0
20  0      0 118888   2368 1083792   0    0 690540    8 17475 13866 6 92 0  2  0  0
25  1      0 114688   2272 1089704   0    0 661716  132 16935 12875 7 92 0  2  0  0
27  0      0 123492   2272 1079812   0    0 692120    8 17234 13559 5 94 0  1  0  0
21  0      0 111572   2296 1092332   0    0 634340    8 15448 12830 7 92 0  2  0  0
27  0      0 103964   2260 1098708   0    0 714668   16 17641 13575 6 93 0  1  0  0
19  0      0 110340   2256 1092400   0    0 654420    0 16633 12607 7 92 0  1  0  0
23  0      0 109680   2264 1093356   0    0 693376   16 16629 13085 6 91 0  4  0  0
31  0      0 110712   2276 1092712   0    0 630556   72 16053 12479 6 92 0  2  0  0
34  0      0 114500   2740 1087600   0    0 653280    8 17643 14755 6 92 0  2  0  0
34  2      0 112208   2524 1091488   0    0 665688   16 17717 13956 7 92 0  1  0  0
29  0      0 106780   2284 1095640   0    0 653548    0 17437 14143 7 91 0  2  0  0
28  1      0 108644   2284 1093880   0    0 728348    4 17490 14189 6 94 0  0  0  0
15  0      0 120804   2240 1081380   0    0 707904   80 17078 14175 6 93 0  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  1      0 116496   2264 1086580   0    0 615836    4 14798 11097 8 90 0  3  0  0
16  1      0 122268   2244 1080212   0    0 692556  116 17145 13187 5 92 0  3  0  0
11  2      0 111340   2288 1094524   0    0 667500    0 17160 12929 6 91 0  3  0  0
14  1      0 115776   2352 1096420   0    0 562304  292 16274 13418 10 88 0 2  0  0
14  1      0 109836   2292 1097900   0    0 522964 1584 14901 13684 10 86 0 4  0  0
13  3      0 118780   2436 1080824   0    0 651028   20 17751 14772 8 92 0  0  0  0
14  1      0 119452   2376 1080832   0    0 623304    4 15845 13338 6 92 0  2  0  0
19  0      0 106204   2392 1100388   0    0 688516  432 17627 13638 6 92 0  2  0  0
20  1      0 105796   2300 1098740   0    0 597084    4 15123 13694 7 90 0  3  0  0
18  2      0 107480   2320 1096656   0    0 683320    0 17808 13571 6 92 0  2  0  0
30  0      0 105676   2300 1097748   0    0 561936   16 14337 11117 6 94 0  0  0  0
12  1      0 110660   2300 1092432   0    0 719740    0 17024 12857 5 93 0  2  0  0
17  0      0 112956   2332 1088912   0    0 639384  228 16252 12142 7 93 0  0  0  0
12  2      0 112644   2248 1087832   0    0 711776    0 17112 12742 6 92 1  2  0  0
24  0      0 110888   2220 1090080   0    0 665604    8 16202 13683 6 93 0  1  0  0
23  2      0 104348   2916 1094356   0    0 694172   12 18013 14900 7 92 0  1  0  0
22  0      0  88600   2256 1109760   0    0 525864   12 17474 12301 7 92 0  1  0  0
21  1      0  87064   2236 1110600   0    0 535052   28 20650 11729 8 92 0  1  0  0
24  1      0  90952   2216 1104324   0    0 517160  152 19894 13455 11 88 0 1  0  0
16  1      0  86044   2220 1109272   0    0 539172    0 19312 11998 6 94 0  0  0  0
24  0      0  86912   2200 1107064   0    0 469636   96 15651 10712 7 92 0  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
20  1      0  91764   2200 1101792   0    0 552988   36 20701 11927 6 94 0  0  0  0
15  4      0  90124   2220 1102752   0    0 547560   60 21718 12330 8 92 0  0  0  0
25  0      0  99244   2240 1091628   0    0 521808  132 18861 12120 8 90 0  2  0  0
31  4      0  99376   2240 1091444   0    0 461192    0 15534 9243 5 93  1  1  0  0
33  1      0 103904   2948 1085060   0    0 545868    4 19288 13787 7 93 0  0  0  0
24  3      0  87804   2260 1102488   0    0 540772    0 16891 10871 8 92 0  0  0  0
21  1      0  87728   2236 1101924   0    0 560780  152 19478 12669 6 93 0  1  0  0
30  0      0  92816   2248 1095220   0    0 559452    0 20153 13049 7 93 0  1  0  0
28  0      0  89140   2244 1098328   0    0 587036    4 19313 12368 6 94 0  1  0  0
22  0      0  91400   2232 1094600   0    0 561552    8 18881 13438 6 93 0  1  0  0
28  1      0  86572   2252 1099124   0    0 595872   44 19488 12414 6 92 1  2  0  0
21  0      0  89844   2252 1097760   0    0 569352   24 18343 11608 7 93 0  0  0  0
22  1      0 101652   2260 1086328   0    0 545020   80 19838 11413 5 93 0  2  0  0
23  0      0  88100   2256 1099004   0    0 575684    0 19539 12231 7 93 0  0  0  0
33  2      0 105012   2276 1081300   0    0 571836    8 18909 12713 5 94 0  1  0  0
