procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 106716  38068 2141648   0    0     0    28 12442 21684 36 52 11 0 0  0
 9  0      0 106044  38080 2141960   0    0     0  6528 10623 16888 40 54 6 0  0  0
10  0      0 105544  38080 2142196   0    0     0     0 12503 21700 38 53 9 0  0  0
 8  0      0 104624  38080 2142436   0    0     0    28 12480 23105 38 51 11 0 0  0
11  0      0 104372  38080 2142488   0    0     0     0 12496 21113 40 51 10 0 0  0
 4  0      0 104148  38080 2142820   0    0     0    24 12389 21359 42 51 7 0  0  0
 8  0      0 103484  38088 2143056   0    0     0   108 12178 21401 38 54 8 0  0  0
 6  0      0 102252  38100 2143340   0    0   128    84 12415 22509 37 48 15 1 0  0
 3  0      0 101804  38100 2143536   0    0     0     0 11676 18953 40 54 5 0  0  0
 5  0      0 101580  38100 2143756   0    0     0     4 12356 23015 40 50 10 0 0  0
 9  0      0 101052  38100 2144020   0    0     0    48 13093 22835 35 55 10 0 0  0
 8  0      0 106788  38124 2143932   0    0     0   176 12553 20880 39 52 10 0 0  0
 8  0      0 104452  38172 2144336   0    0     0   384 11147 17656 50 45 5 0  0  0
11  0      0 102052  38172 2144500   0    0     0    52 11977 19790 42 49 8 0  0  0
 4  0      0 101760  38184 2144796   0    0     0    72 12087 19631 38 55 7 0  0  0
 9  0      0 101596  38184 2144920   0    0     0     4 12235 20754 38 53 9 0  0  0
15  0      0  99376  38184 2145148   0    0     0    56 12059 20121 36 55 9 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0      0 114076  38124 2135492   0    0     0    24 12049 21828 39 56 5 0  0  0
11  0      0 111872  38124 2135708   0    0     0    24 12710 22485 37 56 7 0  0  0
10  0      0 111872  38132 2135964   0    0     0    40 13217 23957 39 52 10 0 0  0
 7  0      0 111396  38132 2136116   0    0     0    24 13899 25091 35 53 13 0 0  0
 6  0      0 111172  38144 2136324   0    0     0    88 13902 22934 37 54 10 0 0  0
 9  0      0 110668  38144 2136552   0    0     0    48 12301 19560 34 59 8 0  0  0
11  0      0 109248  38144 2136748   0    0     0     0 12046 20368 40 54 5 0  0  0
 9  0      0 109032  38144 2136976   0    0     0    24 12206 21641 37 49 14 0 0  0
15  0      0 108332  38144 2137152   0    0     0     8 11918 20654 37 54 9 0  0  0
13  0      0 107856  38176 2137428   0    0     0   192 11538 19423 44 50 6 0  0  0
15  0      0 107128  38224 2137652   0    0     0   376 11482 17249 47 51 2 0  0  0
 8  0      0 106904  38236 2137724   0    0     0   140 12558 21443 40 50 10 0 0  0
 8  0      0 106208  38236 2137980   0    0     0     0 11069 19625 42 53 5 0  0  0
 4  0      0 105780  38236 2138140   0    0     0    24 13318 23224 39 52 9 0  0  0
 4  0      0 105560  38236 2138420   0    0     0  6428 12006 20535 38 53 9 0  0  0
 8  0      0 105088  38248 2138652   0    0     0   132 11874 21036 39 51 10 0 0  0
 8  0      0 104340  38248 2138856   0    0     8     0 12004 21138 43 51 6 0  0  0
10  0      0 103612  38248 2139044   0    0    12    24 13682 24872 37 48 16 0 0  0
17  0      0 103612  38248 2139168   0    0     0     8 12563 21229 36 53 10 0 0  0
 4  0      0 102688  38248 2139488   0    0     0    48 12475 20336 38 54 8 0  0  0
 7  0      0 102464  38268 2139704   0    0     0    88 11731 19431 39 52 9 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 100532  38268 2139872   0    0     0    24 11536 19141 40 51 9 0  0  0
 9  0      0 111156  38256 2137804   0    0     0     0 12222 20514 40 53 7 0  0  0
 8  0      0 110680  38256 2137844   0    0     0    24 13654 23412 38 49 13 0 0  0
 8  0      0 110204  38268 2138172   0    0     0   136 11908 19226 41 52 6 0  0  0
 6  0      0 109992  38328 2138372   0    0     0   412 11960 19469 42 53 4 0  0  0
15  0      0 108476  38340 2138580   0    0     0    92 12463 23035 38 52 9 0  0  0
 6  0      0 108012  38340 2138888   0    0     0    24 12635 22140 39 52 8 0  0  0
 9  0      0 107032  38340 2138924   0    0     0    32 12263 19399 38 53 10 0 0  0
 5  0      0 106556  38340 2139272   0    0     0    28 12716 21160 37 55 8 0  0  0
 5  0      0 103336  38340 2139480   0    0     0     0 11882 19443 37 54 9 0  0  0
 8  0      0 103112  38360 2139704   0    0     0   116 12232 18680 38 53 9 0  0  0
 9  0      0 102664  38360 2139896   0    0     0     0 12281 19436 38 56 6 0  0  0
 9  0      0 102440  38360 2140140   0    0     0    24 11376 18499 38 54 8 0  0  0
 6  0      0 101716  38360 2140344   0    0     0    40 12308 21348 37 56 7 0  0  0
 9  0      0 101492  38372 2140496   0    0     0   100 12108 20765 37 55 8 0  0  0
 5  0      0 111460  38344 2136036   0    0     0     0 13249 21775 38 56 7 0  0  0
 6  0      0 110744  38344 2136000   0    0     0    24 10991 18563 41 54 6 0  0  0
 7  0      0 110680  38344 2136292   0    0     0    32 12524 20227 40 56 4 0  0  0
 6  0      0 110240  38356 2136496   0    0     0   112 13674 24104 35 51 14 0 0  0
 9  0      0 109320  38404 2136804   0    0     0  5680 12382 19405 44 52 4 0  0  0
 9  0      0 108844  38416 2136948   0    0     0   140 12794 20859 41 52 7 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0      0 107140  38416 2137204   0    0     0     0 11431 18840 39 54 7 0  0  0
 2  0      0 106692  38428 2137476   0    0     0    80 11413 19569 40 52 8 0  0  0
 4  0      0 106500  38428 2137620   0    0     0    44 12115 21394 39 51 9 0  0  0
 6  0      0 105848  38428 2137860   0    0     0    28 12052 20629 39 54 8 0  0  0
 3  0      0 104648  38428 2138056   0    0     0     0 9811 16284 39 53 8  0  0  0
 6  0      0 103732  38440 2138292   0    0     0    60 11852 20710 43 50 6 0  0  0
 6  0      0 103508  38440 2138416   0    0     0    20 12596 21137 39 52 8 0  0  0
10  0      0 103280  38440 2138632   0    0     0    48 13183 22895 37 52 11 0 0  0
12  0      0 109188  38440 2138456   0    0     0  2204 12005 20684 39 54 8 0  0  0
 7  0      0 108088  38440 2138608   0    0     0    48 11937 17436 40 54 6 0  0  0
10  0      0 105920  38448 2138896   0    0     4    40 11715 18579 42 53 5 0  0  0
 5  0      0 105488  38448 2139036   0    0     0    24 12585 20781 38 56 5 1  0  0
11  0      0 104788  38472 2139252   0    0     0   144 12266 20817 41 52 7 0  0  0
 6  0      0 104088  38520 2139536   0    0     0   396 12615 20567 41 53 6 0  0  0
15  0      0 103864  38532 2139752   0    0     0   112 11612 18524 39 52 9 0  0  0
10  0      0 102644  38532 2139960   0    0     0    28 12164 20974 39 54 7 0  0  0
 6  0      0 102420  38532 2140144   0    0     0    32 12530 19883 38 55 7 0  0  0
 4  0      0 101980  38544 2140352   0    0     0    68 12973 20204 35 57 8 0  0  0
 5  0      0 101504  38544 2140468   0    0     0     0 12342 20144 37 55 8 0  0  0
 9  0      0  99508  38544 2140780   0    0     0    28 12590 20899 34 55 10 0 0  0
 8  0      0 104448  38544 2140880   0    0     0    24 12101 20334 37 53 9 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 103760  38544 2141048   0    0     0     4 11759 18874 35 56 8 0  0  0
 3  0      0 102364  38552 2141340   0    0     0    72 11616 19900 38 57 5 0  0  0
 8  0      0 101664  38564 2141496   0    0     0    60 12236 20692 36 55 8 0  0  0
 7  0      0 101440  38564 2141696   0    0     0    28 12824 22136 37 53 10 0 0  0
 4  0      0 100592  38564 2141892   0    0     0     0 12777 21775 35 58 8 0  0  0
 5  0      0 114336  38504 2132104   0    0     0    56 10909 17784 41 53 7 0  0  0
13  0      0 113644  38516 2132252   0    0     0    80 12552 20730 38 55 7 0  0  0
 4  0      0 112676  38576 2132540   0    0     0   416 12469 19962 46 48 5 0  0  0
 2  0      0 111852  38576 2132740   0    0     0  4400 12936 20624 39 53 8 0  0  0
11  0      0 111376  38588 2132820   0    0     0   120 11961 20782 39 53 8 0  0  0
10  0      0 110904  38588 2133080   0    0     0     0 7867 12292 40 57 3  0  0  0
 5  0      0 108516  38588 2133288   0    0     0    40 9508 13124 42 54 4  0  0  0
 2  0      0 103652  38588 2133544   0    0     0    24 8338 10990 44 53 4  0  0  0
13  0      0 103204  38600 2133800   0    0     0   100 10355 16314 40 52 7 0  0  0
 6  0      0 102480  38600 2133916   0    0     0     0 12468 21280 37 53 9 0  0  0
 7  0      0 102008  38600 2134152   0    0     0    56 10256 18157 43 52 5 0  0  0
 5  0      0 101560  38600 2134420   0    0     0     0 11676 18492 40 54 5 0  0  0
 9  0      0 101336  38600 2134560   0    0     0    24 12694 21458 41 49 10 0 0  0
 4  0      0 111756  38596 2132548   0    0     0  2100 10844 16899 39 53 7 0  0  0
15  0      0 109796  38608 2132704   0    0     0    92 11702 17799 42 54 5 0  0  0
 7  0      0 109072  38608 2132884   0    0     0     0 10233 16563 38 56 7 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 108624  38608 2133132   0    0     0    80 12370 19781 42 49 8 0  0  0
 9  0      0 108148  38644 2133280   0    0     0   308 11644 18532 43 51 6 0  0  0
 7  0      0 107484  38644 2133560   0    0     0    56 12799 21290 41 52 7 0  0  0
10  0      0 106252  38644 2133732   0    0     0     0 11648 19227 39 53 8 0  0  0
 9  0      0 105804  38656 2134012   0    0     0    96 11069 20738 47 49 4 0  0  0
 6  0      0 105356  38656 2134144   0    0     0     0 11753 18446 38 57 5 0  0  0
11  0      0 103116  38656 2134444   0    0     0    28 12571 21300 41 52 8 0  0  0
 9  0      0 102196  38656 2134692   0    0     0     0 11263 18780 36 58 5 0  0  0
11  0      0 101972  38656 2134844   0    0     0    48 13284 24790 35 54 11 0 0  0
 7  0      0 101748  38664 2135008   0    0     0    36 12419 22033 38 53 9 0  0  0
