procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 1016900 100136 1926632  0    0     2   584 3576   30  4  3 93  0  0  0
 0  0      0 1015416 100136 1926644  0    0     0     0 3433 4934  4  3 93  0  0  0
 0  0      0 1015416 100136 1926644  0    0     0    44 3311 5300  2  2 96  0  0  0
 0  0      0 1015416 100152 1926660  0    0     0   196 4045 6586  5  2 94  0  0  0
 0  0      0 1012672 100152 1926664  0    0     0    28 3895 6489  4  3 93  0  0  0
 0  0      0 1012672 100152 1926664  0    0     0    28 3280 4522  2  1 97  0  0  0
 0  0      0 1012448 100156 1926660  0    0     0    52 3504 5927  3  2 96  0  0  0
 0  0      0 1012448 100156 1926668  0    0     0    32 3327 4780  2  2 95  1  0  0
 0  0      0 1012448 100156 1926668  0    0     0    28 3598 5353  3  2 95  0  0  0
 0  0      0 1010180 100156 1926668  0    0     0     0 3992 6409  4  3 93  0  0  0
 0  0      0 1009928 100160 1926680  0    0     0   408 3556 5176  3  1 96  0  0  0
 0  0      0 1009928 100160 1926688  0    0     0     0 3329 4858  2  2 96  0  0  0
 0  0      0 1009928 100160 1926688  0    0     0    44 3337 4857  3  1 96  0  0  0
 0  0      0 1009928 100160 1926688  0    0     0    28 3209 4649  3  2 95  0  0  0
 2  0      0 1009928 100160 1926688  0    0     0    28 3538 5626  3  2 96  0  0  0
 0  0      0 1009928 100168 1926692  0    0     0    48 3471 5156  3  3 95  0  0  0
 2  0      0 1009928 100168 1926692  0    0     0    28 3474 5270  2  2 96  0  0  0
 0  0      0 1009928 100168 1926692  0    0     0    32 3522 5604  4  2 94  0  0  0
 2  0      0 1009676 100172 1926688  0    0     0   152 4131 6915  5  3 93  0  0  0
 0  0      0 1009676 100172 1926704  0    0     0     0 3723 5841  4  3 93  0  0  0
 0  0      0 1009676 100176 1926700  0    0     0   124 3672 5476  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1009676 100176 1926708  0    0     0     0 3506 5857  3  2 95  0  0  0
 0  0      0 1009676 100176 1926708  0    0     0    44 3855 6165  4  2 94  0  0  0
 0  0      0 1009676 100176 1926712  0    0     0     0 3320 4941  3  2 95  0  0  0
 1  0      0 1009436 100200 1926588  0    0     0   496 4672 8653  6  5 89  0  0  0
 0  0      0 1009436 100200 1926536  0    0     0   224 3445 5290  3  3 94  0  0  0
 0  0      0 1005684 100200 1926536  0    0     0    24 3511 5351  3  2 95  0  0  0
 0  0      0 1005684 100200 1926536  0    0     0    32 3622 5657  3  2 95  1  0  0
 0  0      0 1005684 100200 1926536  0    0     0    28 3106 4945  4  3 94  0  0  0
 0  0      0 1005684 100200 1926536  0    0     0     0 3867 6737  4  3 93  0  0  0
 0  0      0 1005684 100208 1926528  0    0     0    52 3193 4934  4  2 94  0  0  0
 0  0      0 1005684 100208 1926540  0    0     0    20 3500 5264  2  2 96  0  0  0
 0  0      0 1005684 100208 1926540  0    0     0    20 3416 5225  4  2 95  0  0  0
 0  0      0 1005684 100220 1926552  0    0     0   148 3967 6195  4  3 94  0  0  0
 2  0      0 1005684 100224 1926548  0    0     0    52 3850 6738  4  3 93  0  0  0
 0  0      0 1005684 100224 1926556  0    0     0    60 3536 5592  3  2 96  0  0  0
 0  0      0 1005684 100224 1926556  0    0     0   228 3463 4994  3  2 95  0  0  0
 0  0      0 1005684 100224 1926556  0    0     0    56 3443 4774  3  3 95  0  0  0
 0  0      0 1005684 100224 1926556  0    0     0     4 3548 5374  4  2 94  0  0  0
 0  0      0 1005684 100224 1926556  0    0     0    24 3644 7062  4  4 92  0  0  0
 0  0      0 1005684 100224 1926556  0    0     0    60 3084 4470  3  1 96  0  0  0
 2  0      0 1005684 100224 1926560  0    0     0    20 3283 4969  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1005436 100224 1926560  0    0     0    20 3543 5552  3  2 95  0  0  0
 2  0      0 1005436 100224 1926560  0    0     0    24 3082 4338  2  2 96  0  0  0
 3  0      0 1005436 100224 1926560  0    0     0    28 3812 6126  4  3 94  0  0  0
 2  0      0 1005436 100224 1926568  0    0     0    80 3530 6137  4  3 93  0  0  0
 0  0      0 1005436 100224 1926568  0    0     0     0 3729 5487  4  2 94  0  0  0
 0  0      0 1005436 100224 1926568  0    0     0    60 3561 5482  3  2 95  0  0  0
 1  0      0 1005436 100236 1926556  0    0     0   132 3832 5815 10  2 88  0  0  0
 0  0      0 1005436 100236 1926580  0    0     0    56 4103 7064  6  4 90  0  0  0
 0  0      0 1005436 100236 1926580  0    0     0     0 3294 4920  3  2 95  0  0  0
 2  0      0 1005436 100236 1926580  0    0     0    28 3433 4985  4  2 95  0  0  0
