Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,26639,0,2000,1745.474268477116,5.311416000040481,5052.242400000068,10016.3211832276,88.71999141316245,0.0,2000,2500,2700,2800,3100,3400,3800,4000,4500,5000,5100
GET,GET /?currency=X,21612,0,2000,1744.73543627605,5.040301000008185,5163.7119600000005,10015.831575050897,71.97779400207466,0.0,2000,2500,2700,2800,3100,3400,3800,4000,4500,5000,5200
GET,GET /?product_id=X,2664,0,2000,1768.0518083633556,7.762415999877703,4992.127199000151,10017.037912912912,8.872332186818753,0.0,2000,2500,2700,2800,3200,3400,3800,3900,4700,5000,5000
GET,GET /cart,10821,0,710,753.6613191558088,7.250689000102284,2858.247949000088,12042.503927548285,36.038853826413565,0.0,710,870,980,1100,1300,1400,1600,1800,2300,2700,2900
GET,GET /product/[id],18852,0,620,656.3786050427555,6.141366000065318,3189.126991000194,7514.3342350944195,62.785738132848024,0.0,620,730,810,870,1000,1200,1500,1700,2600,3100,3200
POST,POST /cart (add),13496,0,1200,1203.4874204614744,12.517055999978766,3969.571802000246,17312.040011855366,44.94782101850822,0.0,1200,1400,1500,1600,1800,2000,2300,2500,3200,3800,4000
POST,POST /cart (pre-checkout add),5405,0,1200,1198.0530579210006,15.265667000221583,3827.129361000061,17297.19259944496,18.00110941056883,0.0,1200,1300,1500,1600,1800,2000,2300,2600,3100,3800,3800
POST,POST /cart/checkout,5403,0,210,231.50961989190552,6.383538000136468,952.2014429999217,6431.991301129003,17.994448500518665,0.0,210,260,300,320,400,490,610,680,930,950,950
POST,POST /cart/empty,5285,0,2200,1931.6886827833482,10.518138999941584,5276.066110000102,9972.28779564806,17.601454807558977,0.0,2200,2600,2800,3000,3300,3600,4000,4200,4700,5300,5300
POST,POST /setCurrency,7934,0,2300,2148.7276158275813,8.645280000109778,5010.339468999973,10017.540962944291,26.423830169001498,0.0,2300,2700,2900,3000,3400,3700,4000,4200,4700,5000,5000
,Aggregated,118111,0,1000,1360.3304431802621,5.040301000008185,5276.066110000102,10803.514177341653,393.36337346747365,0.0,1000,1700,2200,2400,2900,3200,3600,3800,4500,5000,5300
