procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0  99616  49660 2025056   0    0     8     0 18138 43224 10 20 69 1 0  0
 4  0      0 118720  49360 2012304   0    0    64    28 19004 45045 10 19 70 1 0  0
 0  0      0 117248  49360 2012976   0    0   480    24 18898 46360 9 16 73 2  0  0
 0  0      0 116996  49360 2013168   0    0    96    96 20215 46529 8 17 74 1  0  0
 3  0      0 115992  49408 2013480   0    0    36   352 20525 49017 14 17 69 1 0  0
 5  0      0 114480  49408 2013808   0    0   140    24 19993 47596 9 16 74 1  0  0
10  0      0 113988  49408 2014608   0    0   520     0 18680 47173 11 21 68 1 0  0
 0  0      0 112236  49408 2014876   0    0     0    28 20138 49750 12 21 67 0 0  0
11  0      0 111984  49408 2015020   0    0     0    16 18032 41929 9 14 77 0  0  0
 1  0      0 111984  49412 2015180   0    0     0   112 18911 43979 10 18 72 0 0  0
 5  0      0 109492  49412 2015552   0    0    36    20 19371 46655 11 22 67 1 0  0
 0  0      0 109492  49416 2015756   0    0    60    88 19536 45943 11 21 68 1 0  0
 8  0      0 109492  49416 2016200   0    0   120    32 19949 47055 10 18 72 0 0  0
 1  0      0 109268  49416 2016320   0    0     0    64 19942 46423 11 19 70 0 0  0
 0  0      0 109020  49416 2016464   0    0     0     0 18963 45495 10 21 69 0 0  0
 0  0      0 109020  49416 2016792   0    0     0    24 19076 45066 9 19 71 0  0  0
 0  0      0 109020  49424 2017104   0    0    64  6388 19318 48278 12 20 67 1 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 109020  49436 2017268   0    0     0    72 20532 50061 9 19 72 0  0  0
 3  0      0 109020  49436 2017476   0    0     0    16 19271 45523 8 17 75 0  0  0
 0  0      0 108292  49472 2017864   0    0   112   352 21971 52358 12 20 68 1 0  0
 0  0      0 106024  49472 2018056   0    0     0    28 20186 47551 9 16 75 0  0  0
 1  0      0 105784  49472 2018180   0    0     0    24 19847 45210 8 16 76 0  0  0
 0  0      0 105532  49480 2018460   0    0     8    52 19547 45521 10 18 71 1 0  0
 4  0      0 104808  49480 2018596   0    0     0    60 19325 46207 9 18 72 1  0  0
 1  0      0 104556  49480 2018940   0    0     0    36 21020 50559 9 17 74 0  0  0
 1  0      0 102792  49480 2019120   0    0     0    28 17743 41948 8 17 75 0  0  0
 6  0      0 102568  49480 2019348   0    0     0     0 18023 45951 12 22 67 0 0  0
 4  0      0 102316  49488 2019528   0    0     0   132 17515 42747 9 20 71 0  0  0
 0  0      0 102064  49488 2019716   0    0     0    16 18693 44864 10 20 69 0 0  0
 7  0      0 101812  49496 2019932   0    0     0    52 18550 45161 11 21 68 0 0  0
 0  0      0 101056  49496 2020144   0    0    24    48 19799 45739 9 15 76 1  0  0
10  0      0 101056  49496 2020264   0    0     0    24 19643 46788 9 15 76 0  0  0
11  0      0 100832  49496 2020536   0    0     0    28 18068 44308 9 14 77 0  0  0
 1  0      0 100832  49504 2020744   0    0     0    76 20437 47755 9 18 73 0  0  0
 8  0      0 100608  49544 2021040   0    0     0   320 20937 50936 11 17 71 1 0  0
 0  0      0  99852  49544 2021196   0    0     0    28 20242 49204 13 22 66 0 0  0
 1  0      0  99852  49544 2021412   0    0     0     0 19483 46862 11 21 68 0 0  0
 0  0      0  99852  49544 2021532   0    0     0    44 17945 43709 10 19 71 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0  99600  49544 2021880   0    0     0    16 19796 48102 10 19 71 0 0  0
 0  0      0  99600  49548 2021928   0    0     0    76 19160 45661 9 16 76 0  0  0
 6  0      0 111276  49416 2015796   0    0   364    72 20006 46956 8 17 74 1  0  0
 1  0      0 110800  49416 2015916   0    0     0    24 19001 45666 9 18 73 0  0  0
 1  0      0 110548  49416 2016220   0    0    12    24 19973 49666 12 20 68 0 0  0
 1  0      0 110548  49424 2016424   0    0     0   100 19079 45076 9 19 72 0  0  0
 3  0      0 110072  49424 2016688   0    0    36     0 19971 47930 12 20 68 0 0  0
 0  0      0 107804  49424 2016908   0    0     0    24 19950 47938 11 21 69 0 0  0
 1  0      0 107296  49424 2017168   0    0    36     0 19289 45711 12 20 68 1 0  0
 4  0      0 106300  49424 2017296   0    0     0  6352 19399 46020 14 23 63 0 0  0
 1  0      0 106048  49436 2017592   0    0     0    72 19446 46325 13 21 67 0 0  0
 1  0      0 105796  49476 2017772   0    0     0   336 20649 48815 14 19 67 1 0  0
 0  0      0 104788  49480 2018100   0    0    28    80 19338 46587 12 19 69 0 0  0
 1  0      0 103024  49480 2018280   0    0     0    24 19033 46781 11 17 72 0 0  0
14  0      0 102772  49480 2018488   0    0     0     0 18028 44610 13 22 65 0 0  0
 6  0      0 102520  49480 2018608   0    0     0    64 19495 47211 11 17 72 0 0  0
 0  0      0 102044  49480 2018948   0    0     0     0 19902 47953 12 19 69 0 0  0
 4  0      0 101540  49488 2019116   0    0     0    68 20136 49077 13 24 63 0 0  0
 3  0      0 101036  49488 2019272   0    0     0     0 19323 46444 11 21 68 0 0  0
 0  0      0 101036  49488 2019408   0    0     0    92 20843 48291 11 20 69 0 0  0
 0  0      0 100784  49488 2019748   0    0    12    16 18813 45265 10 19 71 1 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 100308  49488 2019948   0    0     0    24 19561 47458 10 23 67 0 0  0
 0  0      0 100308  49492 2020120   0    0     0    68 17875 42735 10 18 71 0 0  0
 0  0      0 100308  49500 2020248   0    0     0    80 20769 51618 11 22 67 0 0  0
 5  0      0 100308  49500 2020608   0    0     0     0 19692 45419 9 20 71 0  0  0
 0  0      0 100308  49500 2020664   0    0     0    80 19947 46031 8 17 75 1  0  0
 0  0      0  99832  49536 2021048   0    0     0   352 21297 50940 14 19 67 0 0  0
 0  0      0  99584  49536 2021204   0    0     0    24 20638 50922 12 22 66 0 0  0
 3  0      0 111032  49400 2014884   0    0   224     0 18851 46102 13 24 62 1 0  0
 7  0      0 109508  49404 2015024   0    0   120    72 19293 47164 11 19 69 0 0  0
 0  0      0 109016  49404 2015268   0    0     8    20 20726 49100 9 15 75 1  0  0
 1  0      0 108512  49404 2015504   0    0     0    24 20331 48424 9 19 72 0  0  0
 1  0      0 106776  49404 2015880   0    0   136     0 18967 45152 10 17 72 0 0  0
 1  0      0 106776  49404 2015936   0    0     0    76 19319 45259 7 16 77 0  0  0
 0  0      0 106776  49408 2016316   0    0    68    24 20812 49990 10 17 72 0 0  0
 4  0      0 106776  49412 2016520   0    0     0   112 18766 46631 10 21 69 0 0  0
 0  0      0 106776  49412 2016724   0    0     4     0 19033 44323 7 15 78 0  0  0
 0  0      0 105516  49412 2016948   0    0    32    24 21917 51647 11 21 68 1 0  0
 1  0      0 105292  49412 2017200   0    0     0     0 20001 49322 11 18 71 0 0  0
 0  0      0 105040  49412 2017320   0    0     0    28 18750 44040 9 18 73 0  0  0
11  0      0 104788  49416 2017672   0    0     0  6488 20312 48699 11 22 67 0 0  0
 5  0      0 104536  49476 2017776   0    0     0   412 19469 46923 13 22 65 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 102296  49476 2018096   0    0     0     0 19449 48293 10 21 69 0 0  0
 0  0      0 102044  49476 2018276   0    0     0    76 19351 48059 11 20 69 0 0  0
 0  0      0 101540  49476 2018468   0    0     0     0 20852 49072 9 16 74 0  0  0
 2  0      0 101540  49484 2018588   0    0     0   100 20490 47178 9 15 76 0  0  0
 2  0      0 101540  49484 2018976   0    0     0     0 20287 47867 10 18 71 0 0  0
 0  0      0 100784  49484 2019024   0    0     0    24 20006 47952 10 15 75 0 0  0
 0  0      0 100532  49484 2019304   0    0     0     0 19699 47262 10 18 72 0 0  0
 0  0      0  99804  49484 2019560   0    0     0    28 19542 47016 11 20 68 0 0  0
 0  0      0  99552  49492 2019784   0    0     0    52 20628 49769 11 21 68 0 0  0
 0  0      0  99552  49492 2020012   0    0     0    24 19262 45881 10 19 71 0 0  0
 0  0      0 113480  49172 2007308   0    0   336     0 19688 46850 13 23 63 1 0  0
 0  0      0 113488  49180 2007592   0    0     0    76 19000 45352 12 18 70 0 0  0
 1  0      0 113488  49180 2007716   0    0     0    28 19978 47954 12 20 68 0 0  0
 1  0      0 113488  49180 2008080   0    0     0    80 20432 49066 11 17 72 0 0  0
 0  0      0 113488  49232 2008284   0    0     0   380 21272 49828 16 17 66 0 0  0
 8  0      0 113236  49232 2008636   0    0   104    24 20589 48695 12 21 67 1 0  0
 0  0      0 113012  49232 2008908   0    0   104     0 20207 48397 10 22 68 0 0  0
 1  0      0 112760  49232 2009120   0    0     0    28 18356 43283 11 18 70 1 0  0
 1  0      0 112536  49232 2009332   0    0     0    16 21610 52364 11 23 66 0 0  0
 6  0      0 112284  49236 2009528   0    0    32    60 18813 46573 11 21 68 0 0  0
 6  0      0 110272  49236 2009828   0    0    60     0 18568 44465 12 19 69 1 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 110048  49244 2010044   0    0     0    80 19307 48864 10 22 67 0 0  0
 2  0      0 110048  49244 2010252   0    0     0    24 20182 48411 13 21 66 0 0  0
 2  0      0 110048  49244 2010484   0    0     0    56 19694 46937 10 20 69 0 0  0
 8  0      0 110048  49244 2010732   0    0    60    24 18747 45742 11 18 71 0 0  0
10  0      0 109796  49244 2010860   0    0     0    28 20520 50423 12 21 67 0 0  0
 0  0      0 109796  49248 2011212   0    0     0    40 20805 50746 13 23 64 0 0  0
 1  0      0 109040  49256 2011284   0    0     0    48 18691 45945 10 22 67 0 0  0
 5  0      0 109040  49256 2011608   0    0     0    16 20644 48623 12 22 66 0 0  0
 0  0      0 108788  49280 2011804   0    0     0  6704 19664 47956 12 19 69 0 0  0
 0  0      0 108060  49280 2012128   0    0     0     0 21507 52003 12 23 65 0 0  0
 0  0      0 107304  49280 2012292   0    0     0    52 20485 47033 9 15 75 0  0  0
 0  0      0 107304  49280 2012476   0    0     0    24 19509 45619 9 15 76 0  0  0
 0  0      0 107304  49288 2012672   0    0     0    96 21604 51123 11 21 68 0 0  0
 0  0      0 107304  49288 2012876   0    0     0   100 18590 45335 12 22 66 0 0  0
 0  0      0 105540  49288 2013108   0    0     0    28 19310 45743 11 21 69 0 0  0
 2  0      0 105540  49288 2013316   0    0     0     0 20230 48194 12 19 69 0 0  0
 0  0      0 105540  49288 2013432   0    0     0    24 21212 50005 10 15 75 0 0  0
 5  0      0 105540  49296 2013712   0    0     0    76 20512 47995 9 15 76 0  0  0
 0  0      0 105540  49304 2013948   0    0     0    56 22068 51779 10 17 73 0 0  0
 9  0      0 105288  49304 2014220   0    0     0     0 20432 49323 12 19 69 0 0  0
 7  0      0 102544  49304 2014408   0    0     0    52 22398 52137 12 20 68 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 102292  49304 2014608   0    0     0    24 18523 43868 12 18 70 0 0  0
 5  0      0 102292  49312 2014788   0    0     0    96 17961 43825 11 19 70 0 0  0
 2  0      0 101816  49312 2015064   0    0     0    24 20813 52081 13 23 64 0 0  0
 1  0      0 101564  49312 2015340   0    0    96    28 19198 46347 13 23 63 1 0  0
 4  0      0 101564  49312 2015592   0    0     0     0 20558 49991 12 21 67 0 0  0
 3  0      0 100812  49312 2015688   0    0     0    24 18602 44807 13 20 68 0 0  0
 4  0      0 100336  49320 2015968   0    0     0    56 21123 48805 10 18 72 0 0  0
 3  0      0 100336  49332 2016188   0    0    64   108 19391 47241 13 20 66 1 0  0
 1  0      0 118652  49016 2003340   0    0    76     0 19481 46955 12 21 67 0 0  0
 8  0      0 118652  49016 2003464   0    0    32    60 18826 45053 11 18 70 1 0  0
 7  0      0 118428  49016 2003708   0    0     0    32 21327 50692 13 24 63 0 0  0
 2  0      0 118428  49016 2003912   0    0    56    56 19426 45623 12 21 66 1 0  0
 0  0      0 118428  49024 2004148   0    0     0    64 18764 44532 12 20 68 0 0  0
 0  0      0 118176  49024 2004268   0    0     0    24 21023 49942 15 24 62 0 0  0
 5  0      0 116944  49024 2004640   0    0    68     0 19940 48021 12 19 69 0 0  0
 5  0      0 116692  49024 2004852   0    0     0    28 20913 48843 10 20 70 0 0  0
 2  0      0 116692  49024 2005108   0    0     0    16 19844 46233 9 17 74 0  0  0
 9  0      0 116440  49028 2005160   0    0     4  6468 20904 48369 12 18 70 0 0  0
 1  0      0 115708  49028 2005504   0    0     0     0 19556 45887 12 19 69 0 0  0
 3  0      0 115708  49040 2005584   0    0     0    80 20933 49647 11 19 70 0 0  0
 1  0      0 115708  49040 2005912   0    0     0    24 19324 45862 11 18 71 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 115708  49040 2006112   0    0     0    80 22055 52423 10 20 70 0 0  0
 5  0      0 115708  49040 2006328   0    0     0    24 20362 48659 9 17 73 0  0  0
 9  0      0 114476  49048 2006524   0    0     0    68 21375 51193 12 21 66 0 0  0
 2  0      0 113976  49048 2006768   0    0     0     0 19176 47030 11 20 69 0 0  0
 7  0      0 112968  49048 2007028   0    0     0    28 20136 47389 11 21 68 0 0  0
 7  0      0 112716  49048 2007196   0    0     0    16 18974 46186 10 19 71 0 0  0
