procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 130920  52600 2053032   0    0    98   733 13135 145 26 35 39  0  0  0
 1  0      0 127672  52600 2053032   0    0     0     0 4531 7223  3  4 94  0  0  0
 3  0      0 124904  52604 2053116   0    0     0   228 4768 8354  5  6 89  0  0  0
 3  0      0 122664  52604 2053136   0    0     0    32 4976 9215  3  4 93  0  0  0
 1  0      0 120396  52604 2053224   0    0     0    72 6518 12648 3  5 92  0  0  0
 3  0      0 118380  52604 2053320   0    0     0     0 6750 13095 4  7 89  0  0  0
 2  0      0 116700  52604 2053352   0    0     0    28 7889 16876 5  8 87  0  0  0
 2  0      0 112668  52620 2053512   0    0     0    72 8266 17305 5  6 89  0  0  0
 7  0      0 110148  52620 2053616   0    0     0    40 8551 17477 5  8 87  0  0  0
 6  0      0 108144  52620 2053680   0    0     0     0 9579 19957 5  9 87  0  0  0
 4  0      0 103860  52620 2053908   0    0     0    24 10091 21022 5 9 86  0  0  0
 4  0      0  99632  52648 2054004   0    0     0   224 11353 25025 9 12 79 1  0  0
 6  0      0 111016  52460 2045940   0    0  1092  1720 12595 27125 11 13 75 1 0  0
 1  0      0 108744  52460 2046220   0    0    32    32 11316 23949 5 11 83 1  0  0
 5  0      0 105972  52468 2046488   0    0   164    56 11837 26371 8 12 80 0  0  0
 7  0      0 103480  52468 2046740   0    0     0    48 12585 28045 9 17 74 0  0  0
 7  0      0 102472  52468 2046944   0    0     0    24 12600 29199 10 15 75 0 0  0
12  0      0  99928  52468 2047140   0    0     8    24 12893 30492 8 13 79 0  0  0
 4  0      0 114492  52180 2032484   0    0   328  1060 12056 27084 8 12 79 1  0  0
 0  0      0 111884  52180 2033120   0    0   200     0 14107 32365 11 17 71 1 0  0
 7  0      0 108644  52180 2033384   0    0     0    24 14658 33884 9 15 76 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 104136  52180 2033600   0    0     0     0 15354 36222 10 20 70 0 0  0
 5  0      0 102400  52180 2033916   0    0     0    24 16613 38691 14 17 68 0 0  0
 8  0      0 101152  52188 2034084   0    0     0    64 15308 36106 8 16 76 0  0  0
11  0      0 114268  51888 2021088   0    0   664    24 15265 37844 11 17 71 0 0  0
13  0      0 110040  51896 2021444   0    0   124    64 16788 40319 11 20 68 1 0  0
10  0      0 106792  51928 2021720   0    0     0   236 18126 43429 14 21 65 0 0  0
