procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1021300 96388 1923828   0    0     2   646 3572   30  4  3 93  0  0  0
 0  0      0 1021076 96388 1923828   0    0     0    28 3366 5679  2  2 96  0  0  0
 1  0      0 1021076 96392 1923832   0    0     0    56 3287 5352  3  2 96  0  0  0
 0  0      0 1021076 96408 1923852   0    0     0   224 3926 6853  4  3 93  0  0  0
 0  0      0 1021076 96408 1923852   0    0     0     0 3419 5209  2  1 97  0  0  0
 0  0      0 1019312 96408 1923852   0    0     0    28 3550 5544  3  3 95  0  0  0
 0  0      0 1019312 96408 1923852   0    0     0     0 3246 4917  2  2 96  0  0  0
 0  0      0 1019312 96408 1923852   0    0     0    44 3832 6700  4  1 95  0  0  0
 0  0      0 1019312 96412 1923848   0    0     0    44 3549 5815  4  3 94  0  0  0
 1  0      0 1019312 96416 1923860   0    0     0    80 4199 7305  4  2 95  0  0  0
 7  0      0 1018556 96416 1923860   0    0     0     0 3403 5026  2  3 96  0  0  0
 0  0      0 1018556 96416 1923860   0    0     0    24 3858 6391  4  3 94  0  0  0
 1  0      0 1018556 96416 1923860   0    0     0    32 3353 5257  4  1 95  0  0  0
 0  0      0 1018556 96420 1923864   0    0     0    52 3394 5724  3  2 95  0  0  0
 0  0      0 1018556 96420 1923864   0    0     0     0 3505 5648  2  2 96  0  0  0
 2  0      0 1017548 96420 1923864   0    0     0    28 3343 4829  3  3 95  0  0  0
 0  0      0 1017548 96420 1923864   0    0     0     0 3510 5001  3  2 95  0  0  0
 0  0      0 1017548 96420 1923864   0    0     0    44 3505 5654  2  3 95  0  0  0
 0  0      0 1017324 96432 1923872   0    0     0   152 4232 7497  6  4 90  1  0  0
 0  0      0 1017324 96436 1923876   0    0     0    56 4058 6825  5  4 91  0  0  0
 1  0      0 1017072 96436 1923876   0    0     0    80 3593 5809  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1017072 96436 1923876   0    0     0    24 3640 6000  4  2 94  0  0  0
 0  0      0 1017072 96436 1923876   0    0     0    32 3620 5562  3  2 95  0  0  0
 0  0      0 1017072 96440 1923872   0    0     0    72 3413 5781  2  2 96  0  0  0
 0  0      0 1017072 96440 1923880   0    0     0     0 3225 4889  3  3 95  0  0  0
 1  0      0 1017072 96440 1923880   0    0     0    28 3545 5499  3  3 94  0  0  0
 1  0      0 1017072 96440 1923880   0    0     0     0 3392 5670  2  3 95  0  0  0
 0  0      0 1017072 96440 1923880   0    0     0    44 3631 6279  4  4 92  0  0  0
 1  0      0 1017072 96448 1923872   0    0     0    68 3983 6881  6  4 90  0  0  0
 0  0      0 1017072 96448 1923884   0    0     0    28 4047 7146  6  3 91  0  0  0
 0  0      0 1017072 96448 1923884   0    0     0    24 3463 5757  3  4 93  0  0  0
 0  0      0 1017072 96456 1923876   0    0     0    52 3586 5310 12  3 85  0  0  0
 0  0      0 1017072 96456 1923892   0    0     0    32 3408 6065  4  3 94  0  0  0
 0  0      0 1017072 96468 1923888   0    0     0   156 4004 6999  4  5 91  0  0  0
 0  0      0 1017072 96468 1923900   0    0     0     0 3084 5191  2  2 96  0  0  0
 3  0      0 1016316 96468 1923900   0    0     0    36 3527 5326  3  4 93  0  0  0
 2  0      0 1016316 96468 1923900   0    0     0     0 3229 5284  3  3 95  0  0  0
 0  0      0 1016064 96468 1923900   0    0     0    44 3527 5586  5  4 91  0  0  0
 4  0      0 1016064 96468 1923900   0    0     0     0 3718 7009  6  4 90  0  0  0
 0  0      0 1014804 96476 1923908   0    0     0   140 4169 6575  7  4 88  1  0  0
 1  0      0 1013040 96476 1923908   0    0     0    28 3611 6115  3  4 93  0  0  0
 1  0      0 1013040 96480 1923904   0    0     0    48 3523 5278  4  5 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 1013040 96480 1923912   0    0     0    32 3418 4939  3  4 93  0  0  0
 0  0      0 1013040 96480 1923912   0    0     0     4 3337 5717  3  3 94  0  0  0
 0  0      0 1013040 96480 1923912   0    0     0    24 3272 5176  5  2 92  0  0  0
 0  0      0 1013040 96480 1923912   0    0     0   312 3692 6136  4  3 92  0  0  0
 0  0      0 1013040 96480 1923912   0    0     0    20 3296 5036  3  3 94  0  0  0
 1  0      0 1012816 96488 1923908   0    0     0    60 3712 5835  5  4 91  0  0  0
 0  0      0 1012816 96492 1923928   0    0     0   156 4333 7424  9  8 83  1  0  0
 0  0      0 1012816 96492 1923928   0    0     0    28 4043 7561  7  4 89  0  0  0
 1  0      0 1012816 96492 1923928   0    0     0    48 3331 5049  3  3 94  0  0  0
 3  0      0 1012816 96492 1923928   0    0     0     8 3017 4796  3  2 95  0  0  0
 2  0      0 1012816 96500 1923936   0    0     0    56 3705 6019  5  3 92  0  0  0
 2  0      0 1012816 96500 1923936   0    0     0     0 3518 6253  3  3 94  0  0  0
 0  0      0 1012816 96500 1923936   0    0     0    24 3509 5322  4  4 93  0  0  0
 0  0      0 1012816 96500 1923936   0    0     0     0 3411 5601  3  3 93  0  0  0
 0  0      0 1012816 96500 1923936   0    0     0    40 3318 5239  4  3 93  0  0  0
 0  0      0 1012816 96504 1923936   0    0     0    44 3380 5604  3  2 95  0  0  0
 0  0      0 1012816 96508 1923940   0    0     0    48 4069 6694  6  5 89  0  0  0
 0  0      0 1012816 96508 1923940   0    0     0    28 4035 6780  5  4 91  0  0  0
 0  0      0 1012816 96508 1923940   0    0     0    28 3458 5003  4  4 92  0  0  0
 0  0      0 1012816 96508 1923940   0    0     0    28 3307 5047  3  2 95  0  0  0
 0  0      0 1012816 96512 1923944   0    0     0    68 3543 5558  4  4 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1012816 96512 1923952   0    0     0   124 3946 6587  5  4 90  1  0  0
 0  0      0 1012816 96512 1923952   0    0     0    28 3388 5266  2  3 95  0  0  0
 1  0      0 1012816 96512 1923952   0    0     0     0 3321 5128  4  5 91  0  0  0
 0  0      0 1012816 96512 1923952   0    0     0    28 3264 5376  4  3 93  0  0  0
 0  0      0 1012816 96512 1923952   0    0     0    16 3221 5183  3  3 94  0  0  0
 0  0      0 1012816 96516 1923956   0    0     0    84 3937 6633  6  4 89  0  0  0
 0  0      0 1012816 96516 1923956   0    0     0    24 4010 6296  5  3 91  0  0  0
 0  0      0 1012816 96516 1923956   0    0     0    28 3441 5481  3  3 94  0  0  0
 0  0      0 1012816 96516 1923956   0    0     0    24 3318 5151  5  3 92  0  0  0
 0  0      0 1012816 96524 1923960   0    0     0    56 3347 5920  3  3 94  0  0  0
 3  0      0 1012816 96524 1923960   0    0     0     0 3432 5161  3  2 95  0  0  0
 0  0      0 1012816 96524 1923964   0    0     0    28 3327 5276  4  2 94  0  0  0
 0  0      0 1012816 96524 1923964   0    0     0     0 3117 5124  4  4 92  0  0  0
 0  0      0 1012820 96524 1923968   0    0     0    48 3329 5675  3  3 94  0  0  0
 0  0      0 1012820 96524 1923968   0    0     0    16 2999 4387  2  2 96  0  0  0
 0  0      0 1012820 96528 1923980   0    0     0   196 4553 8114  8  5 86  0  0  0
 1  0      0 1012820 96528 1923980   0    0     0     0 3683 5760  6  3 91  0  0  0
