procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1079060 82952 1910864   0    0     0    28 3884 6646  5  5 90  0  0  0
 0  0      0 1078304 82952 1910864   0    0     0    36 3344 4705  3  2 95  0  0  0
 0  0      0 1078304 82956 1910872   0    0     0    64 3587 5515  4  2 94  0  0  0
 0  0      0 1078304 82956 1910872   0    0     0    48 3703 5495  2  2 96  0  0  0
 0  0      0 1078304 82956 1910872   0    0     0    24 3369 5823  3  2 94  1  0  0
 1  0      0 1078304 82956 1910872   0    0     0    28 3021 4664  2  1 97  0  0  0
 0  0      0 1078304 82956 1910876   0    0     0    52 3578 4946  3  3 94  0  0  0
 1  0      0 1078304 82956 1910876   0    0     0    16 3675 5703  4  2 94  0  0  0
 0  0      0 1078304 82956 1910876   0    0     0    28 3306 4995  2  2 96  0  0  0
 0  0      0 1078304 82956 1910876   0    0     0     0 3276 5078  3  2 95  0  0  0
 0  0      0 1078304 82956 1910876   0    0     0    28 3910 6452  4  3 93  0  0  0
 0  0      0 1077548 82960 1910872   0    0     0    60 3468 5519  3  2 95  0  0  0
 0  0      0 1077548 82964 1910880   0    0     0   120 4002 6464  4  3 93  0  0  0
 0  0      0 1077548 82964 1910888   0    0     0     4 3508 5119  3  2 96  0  0  0
 0  0      0 1077548 82964 1910888   0    0     0    48 3634 5479  3  3 94  0  0  0
 0  0      0 1077548 82964 1910888   0    0     0    48 3483 4976  4  1 95  0  0  0
 0  0      0 1077548 82964 1910892   0    0     0    28 3713 6046  3  3 94  0  0  0
 0  0      0 1077548 82964 1910892   0    0     0    36 3702 6344  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1077548 82964 1910892   0    0     0    28 3103 4577  2  1 97  0  0  0
 0  0      0 1077548 82964 1910892   0    0     0     0 2957 4029  2  2 96  0  0  0
 1  0      0 1077548 82972 1910896   0    0     0    64 3813 6662  5  3 91  0  0  0
 0  0      0 1077548 82972 1910896   0    0     0    32 3173 4626  2  2 96  0  0  0
 0  0      0 1077548 82972 1910896   0    0     0    28 3370 4986  2  2 96  0  0  0
 0  0      0 1077548 82972 1910896   0    0     0     4 3110 4330  3  2 96  0  0  0
 3  0      0 1077548 82976 1910900   0    0     0    76 3670 5950  3  3 95  0  0  0
 0  0      0 1077548 82976 1910900   0    0     0    16 3221 4369  2  2 96  0  0  0
 0  0      0 1077548 82976 1910900   0    0     0    52 3731 5801  3  3 95  0  0  0
 0  0      0 1077548 82984 1910892   0    0     0    84 3880 6751  5  2 93  0  0  0
 1  0      0 1077548 82992 1910908   0    0     0    56 3403 5420  3  2 95  0  0  0
 0  0      0 1077548 82992 1910908   0    0     0     8 3171 4649  3  2 96  0  0  0
 0  0      0 1077296 82992 1910908   0    0     0    28 4047 7280  5  4 91  0  0  0
 0  0      0 1077044 82992 1910908   0    0     0    36 3506 5635  3  3 95  0  0  0
 0  0      0 1077044 83000 1910900   0    0     0    48 3405 5268  3  2 96  0  0  0
 0  0      0 1077044 83000 1910912   0    0     0     8 3151 4125  6  2 91  0  0  0
 0  0      0 1077044 83000 1910916   0    0     0    52 3727 5954  3  2 95  0  0  0
 0  0      0 1077044 83000 1910916   0    0     0     8 3362 4414  2  3 95  0  0  0
 0  0      0 1077044 83008 1910912   0    0     0    88 3858 5560  5  3 92  1  0  0
 0  0      0 1077044 83008 1910920   0    0     0    16 4045 6547  4  3 93  0  0  0
 0  0      0 1077044 83008 1910920   0    0     0    28 3567 5019  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
