procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 725964 125140 1961588   0    0     0    96 3686 9539 10 12 77  1  0  0
 0  0      0 725964 125140 1961588   0    0     0    28 3022 7195 10 10 80  0  0  0
 0  0      0 725964 125140 1961588   0    0     0    80 3196 7852  9 10 80  0  0  0
 0  0      0 725964 125140 1961592   0    0     0     0 3729 7939 10  8 82  0  0  0
 1  0      0 725712 125140 1961592   0    0     0    28 3191 8391  8 11 82  0  0  0
 2  0      0 725712 125148 1961604   0    0     0   220 3989 9207 21 16 62  1  0  0
 5  0      0 725460 125152 1961616   0    0     0   260 4246 9780 18 14 67  1  0  0
 0  0      0 725208 125160 1961628   0    0     0    96 3723 8301 12 10 78  0  0  0
 0  0      0 725208 125160 1961628   0    0     0    28 3192 7077  8 10 83  0  0  0
 0  0      0 723204 125160 1961628   0    0     0     0 3755 8226 10 11 79  0  0  0
 1  0      0 722952 125168 1961636   0    0     0   100 4250 9874 18 15 66  1  0  0
 2  0      0 722952 125168 1961648   0    0     0    28 3307 6578  9  8 83  0  0  0
 2  0      0 722952 125168 1961648   0    0     0    56 3715 8059  7  9 83  0  0  0
 0  0      0 722952 125168 1961648   0    0     0     0 3824 9279 14 13 73  0  0  0
 0  0      0 722952 125172 1961644   0    0     0    72 3663 7628  9  9 82  0  0  0
 1  0      0 720936 125172 1961656   0    0     0     0 3714 8527 13 11 76  0  0  0
 0  0      0 720936 125172 1961656   0    0     0    24 3131 5987  7  6 87  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 720936 125172 1961656   0    0     0    16 3582 8350  8  9 84  0  0  0
 1  0      0 720936 125172 1961656   0    0     0    60 3358 7239  7  7 86  0  0  0
 0  0      0 720936 125172 1961656   0    0     0     0 3437 8555  8 13 80  0  0  0
 2  0      0 720684 125176 1961664   0    0     0   280 4706 10701 22 16 61 1  0  0
 0  0      0 720684 125176 1961688   0    0     0   284 4372 9406 13 14 72  1  0  0
 2  0      0 720684 125176 1961692   0    0     0   116 3651 8332 11 10 78  1  0  0
 0  0      0 720684 125176 1961692   0    0     0     0 4142 8745 10  8 82  0  0  0
10  0      0 718416 125176 1961692   0    0     0    28 3260 6064  6  9 85  0  0  0
 0  0      0 716652 125180 1961696   0    0     0    64 3170 7364  7  9 83  0  0  0
 2  0      0 716652 125180 1961696   0    0     0     0 3230 6134  6  6 88  0  0  0
 2  0      0 716652 125180 1961696   0    0     0    44 3333 6939  9 10 81  0  0  0
 1  0      0 716652 125180 1961696   0    0     0     0 3108 5894  6  5 89  0  0  0
 2  0      0 716652 125180 1961696   0    0     0    28 3470 6938  8  6 86  0  0  0
 0  0      0 715924 125180 1961696   0    0     0    68 4195 9606 18 15 67  0  0  0
 0  0      0 715924 125184 1961700   0    0     0    76 3538 8076  9  7 83  1  0  0
 1  0      0 715924 125184 1961700   0    0     0    32 3308 6436  7  7 86  0  0  0
 0  0      0 715924 125184 1961700   0    0     0    24 4147 9750 14 10 76  0  0  0
 3  0      0 715924 125184 1961700   0    0     0     0 3270 6977  6  9 85  0  0  0
 5  0      0 715168 125200 1961724   0    0     0   292 4837 10959 23 20 56 1  0  0
 5  0      0 715168 125204 1961732   0    0     0   280 4283 8509 17 13 70  1  0  0
 5  0      0 715168 125208 1961744   0    0     0    80 3944 8988 11 10 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
