Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,1398,321,1100,5820.7319976896,1.3083300000289455,30237.883136000164,7687.85121602289,4.668666207789474,1.0719898803293426,1100,1400,2100,3300,30000,30000,30000,30000,30000,30000,30000
GET,GET /?currency=X,1072,246,1000,5770.782053528948,1.339862001259462,47379.9323509993,7689.395522388059,3.579978665772758,0.8215249550187486,1000,1400,1800,2800,30000,30000,30000,30000,47000,47000,47000
GET,GET /?product_id=X,144,38,1000,6131.368869090174,1.1052059999201447,30059.444855000038,7345.576388888889,0.4808926565963406,0.12690222882403435,1000,1600,2500,5100,30000,30000,30000,30000,30000,30000,30000
GET,GET /cart,634,143,910,5505.4809699841935,1.1791409997385927,30061.249907001184,6338.108832807571,2.1172635019588886,0.47755312425886604,920,1300,2400,3200,30000,30000,30000,30000,30000,30000,30000
GET,GET /product/[id],1028,258,940,6083.567252074911,1.4352950001921272,30060.1074089991,5643.5885214007785,3.433039242923876,0.8615993430684437,950,1400,2500,2900,30000,30000,30000,30000,30000,30000,30000
POST,POST /cart (add),675,155,1300,6264.609939481518,1.0839870010386221,30058.893591000015,12590.868148148149,2.254184327795347,0.5176275123085611,1300,1800,2700,4400,30000,30000,30000,30000,30000,30000,30000
POST,POST /cart (pre-checkout add),281,65,1400,6540.234561925323,1.5428949991473928,30121.76595999881,12524.149466192172,0.9384085868303592,0.2170696019358482,1400,1800,2700,4400,30000,30000,30000,30000,30000,30000,30000
POST,POST /cart/checkout,268,65,670,5471.657117985085,1.4134339999145595,30012.961476999408,4871.955223880597,0.8949946664431895,0.2170696019358482,680,950,1300,2100,30000,30000,30000,30000,30000,30000,30000
POST,POST /cart/empty,284,54,1300,5131.815866686805,1.4778909990127431,30053.729456001747,8070.943661971831,0.9484271838427829,0.18033474622362775,1300,1700,2000,2500,30000,30000,30000,30000,30000,30000,30000
POST,POST /setCurrency,374,99,1300,6975.833758740648,1.5219289998640306,30189.559812999505,7343.885026737968,1.2489850942154959,0.3306137014099842,1300,1700,2800,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,6158,1444,1100,5935.397879503758,1.0839870010386221,47379.9323509993,7832.2422864566415,20.564840134168513,4.8222846953133045,1100,1500,2200,3300,30000,30000,30000,30000,30000,47000,47000
