procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1011196 97724 1924836   0    0     0     0 3863 6918  7  9 85  0  0  0
 0  0      0 1010692 97728 1924832   0    0     0   100 3442 5430  4  4 92  0  0  0
 0  0      0 1010692 97728 1924840   0    0     0     0 3440 5659  4  2 95  0  0  0
 0  0      0 1010692 97728 1924840   0    0     0    44 3650 5681  4  2 94  1  0  0
 0  0      0 1010692 97728 1924840   0    0     0     0 3502 5105  5  3 92  0  0  0
 0  0      0 1010692 97732 1924836   0    0     0    48 3527 6121  3  3 94  0  0  0
 0  0      0 1010692 97732 1924848   0    0     0    16 3577 5774  4  3 93  0  0  0
 0  0      0 1010692 97732 1924848   0    0     0    52 3601 6094  5  4 91  0  0  0
 0  0      0 1010692 97732 1924848   0    0     0    24 4032 7654  7  5 89  0  0  0
 0  0      0 1007920 97740 1924840   0    0     0    56 3818 6282  4  4 91  0  0  0
 0  0      0 1007920 97740 1924852   0    0     0     0 3804 6268  5  4 91  0  0  0
 0  0      0 1007164 97740 1924852   0    0     0    68 3736 5569  4  5 91  0  0  0
 0  0      0 1007164 97740 1924852   0    0     0     0 3230 5216  3  2 95  0  0  0
 1  0      0 1007164 97744 1924860   0    0     0   152 3797 6188  7  5 87  0  0  0
 0  0      0 1007164 97744 1924860   0    0     0     0 3404 5445  4  3 92  0  0  0
 0  0      0 1007164 97748 1924856   0    0     0    52 3299 5233  4  3 93  0  0  0
 0  0      0 1007164 97748 1924864   0    0     0    24 3884 6027  5  4 91  0  0  0
 0  0      0 1007164 97748 1924864   0    0     0    52 3454 4995  3  4 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1007164 97748 1924864   0    0     0    28 3638 5733  5  4 90  1  0  0
 0  0      0 1007164 97752 1924860   0    0     0    68 3405 4984  4  3 93  0  0  0
 1  0      0 1007164 97752 1924868   0    0     0     0 3769 6322  5  5 90  0  0  0
 0  0      0 1007164 97752 1924868   0    0     0    36 3826 5742  4  3 93  0  0  0
 0  0      0 1007164 97752 1924868   0    0     0    24 3353 5157  4  3 93  0  0  0
 0  0      0 1007164 97752 1924868   0    0     0     4 3408 5380  4  3 93  0  0  0
 0  0      0 1007164 97752 1924868   0    0     0    20 3676 5803  4  3 93  0  0  0
 0  0      0 1007164 97760 1924860   0    0     0    60 3211 4863  3  3 93  0  0  0
 0  0      0 1007164 97760 1924872   0    0     0    40 3357 4610  4  3 93  0  0  0
 0  0      0 1007164 97760 1924872   0    0     0    32 3340 5065  4  4 92  0  0  0
