Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,16698,0,29,69.67718191454108,1.1224820000279578,1423.2019209998725,10018.02593124925,55.61163256799269,0.0,29,53,74,89,160,270,520,750,1300,1400,1400
GET,GET /?currency=X,13469,0,30,69.35150878023451,1.2658160003411467,1444.1798980001295,10017.724478431956,44.85765235706633,0.0,30,54,73,89,160,270,540,780,1200,1400,1400
GET,GET /?product_id=X,1621,0,33,72.03089728254203,1.480432999869663,1184.6379370003888,10017.299814929056,5.398637944227821,0.0,33,59,78,95,180,270,510,750,1000,1200,1200
GET,GET /cart,6855,0,19,36.87579753201947,1.6509890001543681,673.8994369998181,12272.0056892779,22.830143804862253,0.0,19,30,40,48,83,140,230,330,560,670,670
GET,GET /product/[id],11688,0,16,31.152860780972816,1.5186009995886707,622.9234870002074,7579.05013689254,38.926144535555075,0.0,16,25,33,39,70,120,210,270,480,520,620
POST,POST /cart (add),8348,0,35,58.48220970459736,2.9341399999793794,977.8526709997095,17330.968375658842,27.802485847263323,0.0,35,51,65,77,130,210,360,480,710,980,980
POST,POST /cart (pre-checkout add),3309,0,34,60.69239182229946,3.2055840001703473,755.191522000132,17315.29344212753,11.020415149568082,0.0,34,51,65,78,140,240,410,550,730,760,760
POST,POST /cart/checkout,3309,0,13,18.209023236022006,1.7424770003344747,237.36167000015485,6432.070111816259,11.020415149568082,0.0,13,18,22,26,37,56,94,120,190,240,240
POST,POST /cart/empty,3433,0,40,85.84443323332489,2.546971999890957,1613.2868520003285,9973.308476551121,11.433389304462745,0.0,40,69,93,110,200,330,640,830,1400,1600,1600
POST,POST /setCurrency,5060,0,38,78.14275519940519,2.1676279998246173,1436.8663139998716,10018.837154150198,16.852009869088693,0.0,38,63,81,97,170,290,550,810,1200,1400,1400
,Aggregated,73790,0,25,57.87540206526564,1.1224820000279578,1613.2868520003285,10832.754329854994,245.7529265296551,0.0,25,44,61,75,130,220,390,620,1100,1400,1600
