Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,39827,0,4,4.9772163814494705,1.2768640008289367,292.55871700115677,10015.619880985261,132.74075422714006,0.0,4,4,5,6,8,11,20,31,99,190,290
GET,GET /?currency=X,31862,0,4,4.939046403765274,1.264578000700567,168.02703000030306,10014.888864478062,106.19393655522978,0.0,4,4,5,6,8,11,19,30,100,150,170
GET,GET /?product_id=X,3968,0,4,4.96926425328532,1.234114999533631,139.11502200062387,10015.416330645161,13.225081295937223,0.0,4,4,5,6,8,11,19,31,120,140,140
GET,GET /cart,16018,0,3,4.263807784553198,1.4471989998128265,178.15424500076915,12193.853789486828,53.38693351772238,0.0,3,4,4,4,6,8,18,31,97,130,180
GET,GET /product/[id],27815,0,3,3.967434571265199,1.450781999665196,167.53245299878472,7577.584828330037,92.70555348953978,0.0,3,3,4,4,5,7,18,32,85,150,170
POST,POST /cart (add),19941,0,6,7.349004106312083,2.6384009997855173,268.2112099992082,17358.196429466927,66.46203279291436,0.0,6,6,7,7,9,12,31,51,120,240,270
POST,POST /cart (pre-checkout add),7941,0,6,7.205548421609329,2.7948509996349458,152.10089899846935,17375.95995466566,26.466827260846138,0.0,6,6,7,7,9,12,27,48,120,150,150
POST,POST /cart/checkout,7941,0,5,5.14480944175926,2.6265890010108706,122.98216400085948,6431.112328422113,26.466827260846138,0.0,5,5,5,6,6,7,10,14,31,120,120
POST,POST /cart/empty,7992,0,5,7.138435397788495,2.4510339990229113,172.84060000019963,9971.210960960962,26.63680688435743,0.0,5,6,7,8,10,14,27,40,120,170,170
POST,POST /setCurrency,11902,0,5,7.407263732893271,2.0538219996524276,205.83227299903228,10016.110737691144,39.66857802022299,0.0,5,6,7,8,10,14,30,55,140,170,210
,Aggregated,175207,0,4,5.386758011469349,1.234114999533631,292.55871700115677,10832.402529579298,583.9533313047563,0.0,4,5,6,6,8,11,21,35,110,160,290
