procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 202488  28276 2131280   0    0   328   672 9543   85 28 36 35  0  0  0
 0  0      0 196468  28276 2131404   0    0     0    24 5306 9396 21 24 55  0  0  0
 0  0      0 193976  28276 2131532   0    0     0     0 5149 9012 12 18 70  0  0  0
 6  0      0 192968  28276 2131620   0    0     0    24 6399 10999 18 22 60 0  0  0
 0  0      0 190224  28284 2131776   0    0     4   540 7048 11590 19 27 54 0  0  0
 5  0      0 187732  28296 2131972   0    0     0    92 7892 15245 24 26 50 0  0  0
 6  0      0 184960  28296 2132148   0    0     0     4 8484 15283 24 28 48 1  0  0
10  0      0 181964  28296 2132332   0    0     0    48 8921 16757 26 32 42 0  0  0
 5  0      0 179232  28308 2132472   0    0     0   124 9423 17540 30 39 32 0  0  0
 8  0      0 179008  28320 2132592   0    0     0    64 5243 9350 37 51 12  0  0  0
 4  0      0 174528  28320 2132920   0    0     0    84 8143 13761 46 50 4  0  0  0
 7  0      0 169320  28320 2133268   0    0     0    24 8532 14262 40 48 13 0  0  0
11  0      0 166860  28320 2133520   0    0     0     0 8408 14546 33 44 23 0  0  0
12  0      0 162628  28320 2134024   0    0     0    24 6115 10654 26 50 25 0  0  0
 2  0      0 160164  28328 2134332   0    0     0    32 7776 12198 40 53 7  0  0  0
 5  0      0 156192  28328 2134664   0    0     0    16 7208 11653 39 58 4  0  0  0
 6  0      0 152232  28340 2134920   0    0     0    60 8575 12327 40 55 5  0  0  0
12  0      0 148060  28340 2135456   0    0     0    28 8448 14075 37 47 16 0  0  0
 5  0      0 147120  28340 2135596   0    0     0    24 8365 13110 38 49 14 0  0  0
 6  0      0 143148  28340 2136020   0    0     0     0 8828 12937 42 51 7  0  0  0
 3  0      0 138192  28352 2136348   0    0     0    96 8165 12493 45 52 3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
