procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1045404 90760 1916060   0    0     2   764 3566   30  4  3 93  0  0  0
 0  0      0 1045164 90764 1916072   0    0     0   136 3475 5585  2  2 95  1  0  0
 1  0      0 1045164 90764 1916080   0    0     0     0 3487 5815  2  2 96  0  0  0
 1  0      0 1045164 90764 1916080   0    0     0    24 3899 6590  3  1 96  0  0  0
 3  0      0 1043904 90784 1916100   0    0     0   192 3903 6601  4  3 93  0  0  0
 0  0      0 1041384 90784 1916100   0    0     0    44 3598 5258  3  2 95  0  0  0
 0  0      0 1041384 90784 1916100   0    0     0     0 3704 5869  8  2 91  0  0  0
 0  0      0 1041384 90792 1916092   0    0     0    56 3491 6364  2  1 97  0  0  0
 3  0      0 1041384 90792 1916104   0    0     0     0 3309 5492  2  2 97  0  0  0
 0  0      0 1041384 90792 1916104   0    0     0    28 3864 6272  4  3 93  0  0  0
 3  0      0 1039872 90792 1916120   0    0     0   360 3549 5352  3  3 95  0  0  0
 0  0      0 1039872 90792 1916120   0    0     0    72 3464 5665  3  2 95  0  0  0
 0  0      0 1039872 90792 1916124   0    0     0     0 3250 5060  3  1 96  0  0  0
 0  0      0 1039872 90792 1916124   0    0     0    28 3270 5062  2  2 96  0  0  0
 1  0      0 1039872 90792 1916124   0    0     0     0 3326 5321  2  1 97  0  0  0
 1  0      0 1037352 90792 1916124   0    0     0    68 3499 5289  3  2 95  0  0  0
 7  0      0 1037352 90812 1916020   0    0     0   428 4080 7274  5  3 92  0  0  0
 1  0      0 1035588 90812 1915948   0    0     0    28 3726 6407  3  3 94  0  0  0
 4  0      0 1035588 90812 1915948   0    0     0     0 3636 5669  3  1 96  0  0  0
 1  0      0 1035336 90816 1915956   0    0     0   280 4556 7946  6  4 89  1  0  0
 3  0      0 1033824 90816 1915956   0    0     0   124 3644 5976  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1033824 90820 1915952   0    0     0    72 3599 5872  3  2 96  0  0  0
 0  0      0 1033600 90820 1915964   0    0     0    28 3468 5673  2  2 97  0  0  0
 8  0      0 1033600 90820 1915964   0    0     0    24 3456 5127  4  2 94  0  0  0
 2  0      0 1033600 90820 1915964   0    0     0     0 3222 5416  2  2 96  0  0  0
 0  0      0 1032844 90828 1915956   0    0     0    68 3833 6550  5  3 91  0  0  0
 5  0      0 1032844 90828 1915968   0    0     0    12 3637 5897  3  2 95  0  0  0
 3  0      0 1032844 90828 1915968   0    0     0    28 3354 5800  3  2 95  0  0  0
 0  0      0 1032844 90828 1915968   0    0     0     0 3216 4801  3  1 96  0  0  0
 0  0      0 1032592 90828 1915968   0    0     0    28 3879 7212  4  3 93  0  0  0
 0  0      0 1032592 90836 1915968   0    0     0    84 3801 5648  3  3 94  0  0  0
 0  0      0 1032592 90836 1915972   0    0     0    48 3373 4848  3  1 96  0  0  0
 0  0      0 1032592 90836 1915972   0    0     0   236 3211 4576  2  2 96  0  0  0
 0  0      0 1032592 90836 1915972   0    0     0    28 3122 5420  3  2 95  0  0  0
 0  0      0 1032592 90848 1915980   0    0     0   124 3960 6495  4  2 94  0  0  0
 0  0      0 1032088 90852 1915976   0    0     0    72 3473 5723  4  3 94  0  0  0
 3  0      0 1032088 90852 1915984   0    0     0     8 3682 6498  3  2 95  0  0  0
 4  0      0 1032088 90852 1915984   0    0     0    28 3479 5002  3  3 94  0  0  0
 0  0      0 1032088 90852 1915984   0    0     0     0 3159 4724  2  2 96  0  0  0
 2  0      0 1032088 90852 1915984   0    0     0    28 4155 6875  4  4 92  0  0  0
 0  0      0 1031080 90852 1915984   0    0     0    36 3575 5677  2  3 95  0  0  0
 0  0      0 1031080 90860 1915988   0    0     0   104 3634 5912  4  2 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1031080 90860 1915992   0    0     0    24 3190 4474  2  2 96  0  0  0
 1  0      0 1031080 90860 1915992   0    0     0    24 3442 5405  3  3 94  0  0  0
 0  0      0 1031080 90860 1915992   0    0     0    20 3405 4889  2  2 96  0  0  0
 0  0      0 1031080 90864 1915988   0    0     0    68 3737 5555  3  3 94  0  0  0
 1  0      0 1031080 90864 1915996   0    0     0     0 3990 6973  4  3 93  0  0  0
 0  0      0 1030832 90864 1915996   0    0     0    28 3600 5581  4  2 94  0  0  0
 0  0      0 1030832 90864 1915996   0    0     0     0 3307 4632  2  2 96  0  0  0
 0  0      0 1030832 90880 1916008   0    0     0   164 4583 8711  6  4 89  0  0  0
 0  0      0 1030832 90880 1916008   0    0     0    36 3700 5461  4  3 94  0  0  0
