Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11068,0,26,34.521075075441644,4.58874299965828,555.8513340001809,10016.730122876761,36.878073593820034,0.0,26,34,40,45,61,83,140,190,400,550,560
GET,GET /?currency=X,8889,0,26,34.13287030914547,4.937785999572952,490.06795100012823,10017.466306671167,29.617744504469307,0.0,26,34,39,44,61,84,140,190,300,490,490
GET,GET /?product_id=X,1167,0,25,33.08842841986826,4.994466999960423,304.09242200039444,10016.4764353042,3.88839102674268,0.0,25,33,38,43,59,78,140,190,270,300,300
GET,GET /cart,4561,0,18,24.616434912519892,6.424844000321173,428.43003300004057,12219.438500328875,15.197044963987459,0.0,18,22,26,29,42,59,100,140,350,430,430
GET,GET /product/[id],7983,0,16,21.672699493169972,6.698357000459509,364.50140599936276,7577.50281848929,26.598993630237203,0.0,16,19,22,25,36,54,95,130,280,360,360
POST,POST /cart (add),5623,0,31,39.74964670211809,13.710360000004584,506.0439429998951,17397.825537969056,18.735580756961518,0.0,31,37,42,46,64,92,150,200,380,510,510
POST,POST /cart (pre-checkout add),2220,0,30,38.83367326532003,14.167481000185944,560.6114720003461,17348.151351351353,7.396939228250857,0.0,30,36,41,45,59,90,140,180,370,560,560
POST,POST /cart/checkout,2219,0,20,22.31799007120173,8.98520600003394,215.52374900056748,6432.022532672375,7.3936072736435365,0.0,20,23,26,28,34,41,50,59,120,220,220
POST,POST /cart/empty,2248,0,33,42.447786887452885,9.189808999508386,447.78459799999837,9972.836298932385,7.490233957255822,0.0,33,42,50,55,71,98,160,200,340,450,450
POST,POST /setCurrency,3408,0,34,44.219205600651506,8.540279000044393,587.4898289994235,10018.74882629108,11.35530130174726,0.0,34,42,49,54,75,100,180,210,340,590,590
,Aggregated,49386,0,25,32.696666553314266,4.58874299965828,587.4898289994235,10833.031182926336,164.5519102371157,0.0,25,32,37,42,58,80,130,180,350,550,590
