procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 162100  43828 2118956   0    0   173   675 9539   84 31 40 29  0  0  0
 0  0      0 158600  43836 2118948   0    0     0    88 3909 7461 13 17 71  0  0  0
 0  0      0 157100  43836 2119028   0    0     0    24 4036 6862 10 13 77  0  0  0
 7  0      0 154592  43856 2119040   0    0     0   216 6233 12074 21 18 62 0  0  0
 0  0      0 151344  43876 2119204   0    0     0   296 6719 13642 29 30 41 1  0  0
 0  0      0 148072  43884 2119260   0    0     0   136 6134 10697 18 24 58 1  0  0
 9  0      0 146084  43884 2119468   0    0     0   336 7353 14066 21 29 49 0  0  0
 2  0      0 145328  43884 2119508   0    0     0    20 7189 14440 21 31 48 0  0  0
 2  0      0 143088  43884 2119792   0    0   124     4 6774 12504 26 34 40 0  0  0
 8  0      0 140596  43884 2119980   0    0     0    24 7165 13837 30 38 32 0  0  0
11  0      0 138580  43900 2120048   0    0     0   104 7974 16658 30 31 39 0  0  0
 2  0      0 137096  43900 2120304   0    0     0    32 9383 18378 26 33 42 0  0  0
 2  0      0 134588  43900 2120484   0    0     0     0 9803 18039 28 38 34 0  0  0
 8  0      0 132096  43900 2120740   0    0     0    32 9369 17592 30 37 33 0  0  0
 7  1      0 131116  43900 2120888   0    0     0    32 8879 16798 29 42 28 0  0  0
11  0      0 129660  43908 2121076   0    0     0    84 10817 20561 31 39 29 1 0  0
 9  0      0 127924  43908 2121368   0    0     0     0 8659 14528 31 43 26 0  0  0
 8  0      0 125712  43908 2121440   0    0     0    28 8657 15283 34 40 26 0  0  0
12  0      0 121232  43924 2121892   0    0     0   148 8993 14346 40 44 16 0  0  0
11  0      0 118012  43956 2122112   0    0     0   328 9485 15614 45 50 5  0  0  0
 7  0      0 112328  43956 2122412   0    0     0    92 9165 16473 43 53 4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 111852  43964 2122604   0    0     0    60 11015 21751 34 39 27 0 0  0
 8  0      0 111164  43964 2122940   0    0     0    20 11277 19530 34 42 24 0 0  0
13  0      0 109456  43964 2123232   0    0     0    24 9414 16936 37 51 12 0  0  0
 6  0      0 107580  43964 2123584   0    0     0    32 9697 16263 37 46 17 0  0  0
 5  0      0 103868  43972 2123964   0    0     0   120 10246 16737 38 44 18 0 0  0
 4  0      0 103368  43972 2124232   0    0     0     0 9805 15122 39 44 17 0  0  0
 5  0      0 100120  43972 2124532   0    0     0  4096 9457 14609 38 58 5  0  0  0
 7  0      0 109892  43912 2114616   0    0     0     0 9436 14104 42 55 3  0  0  0
 4  0      0 105612  43912 2115328   0    0     0    24 8496 13082 43 49 8  0  0  0
 9  0      0 119128  43728 2096660   0    0     4    64 9824 13507 44 53 4  0  0  0
 3  0      0 116208  43728 2097000   0    0     0    52 9108 12518 50 47 3  0  0  0
 6  0      0 112084  43728 2097468   0    0     0     0 10943 17666 44 54 3 0  0  0
14  0      0 110940  43744 2097668   0    0     0   176 11960 20790 45 51 4 0  0  0
 3  0      0 110268  43768 2098080   0    0     4   308 11604 17974 48 49 3 0  0  0
 7  0      0 108676  43776 2098412   0    0     0   136 12294 20593 42 52 5 0  0  0
14  0      0 107756  43776 2098632   0    0     0    16 8184 12110 40 57 3  0  0  0
 4  0      0 106784  43784 2098916   0    0     0    60 8214 13060 46 49 4  0  0  0
12  0      0  99468  43784 2099328   0    0     0     0 9163 14978 42 55 3  0  0  0
 9  0      0 129504  43724 2090244   0    0     0    24 9616 15266 45 52 3  0  0  0
 3  0      0 126484  43724 2090708   0    0     0    16 10845 17914 46 53 1 0  0  0
 6  0      0 125308  43724 2091020   0    0     0    28 11364 16759 43 55 2 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 123636  43732 2091364   0    0     0    24 12510 17806 43 54 4 0  0  0
10  0      0 122264  43732 2091688   0    0     0    28 10516 14556 45 53 3 0  0  0
 4  0      0 118852  43740 2092108   0    0     0    60 10340 17207 46 52 3 0  0  0
 4  0      0 115620  43740 2092540   0    0     0    24 12026 19490 41 56 3 0  0  0
10  0      0 114052  43740 2092872   0    0     0    48 11306 20884 43 53 4 0  0  0
10  0      0 112208  43740 2093312   0    0   116    28 12265 20571 43 52 5 0  0  0
 7  0      0 109244  43760 2093536   0    0     0   172 12248 18652 45 50 5 0  0  0
 9  0      0 108320  43776 2093940   0    0     0   284 12029 16964 47 51 3 0  0  0
 3  0      0 106196  43784 2094304   0    0     0    84 12722 18876 48 49 3 0  0  0
 9  0      0 104576  43784 2094604   0    0     0    52 12792 17492 45 52 4 0  0  0
11  0      0 103428  43784 2094984   0    0     0  8240 11990 19792 38 59 4 0  0  0
 4  0      0 100224  43784 2095316   0    0     0    24 11740 19124 43 53 3 0  0  0
 9  0      0 130012  43772 2093504   0    0     0    32 11801 18497 43 55 3 0  0  0
 6  0      0 129296  43784 2093832   0    0     0   116 14408 21746 40 49 11 0 0  0
10  0      0 128992  43784 2094184   0    0     0    52 15229 24663 45 51 4 0  0  0
13  0      0 126324  43784 2094564   0    0     0  1900 14336 23652 40 54 5 0  0  0
12  0      0 125348  43784 2094868   0    0     0     0 13718 20398 42 52 6 0  0  0
 8  0      0 123000  43784 2095128   0    0     0    24 12062 20034 41 54 4 1  0  0
10  0      0 121380  43792 2095428   0    0     0    60 10580 16301 44 55 1 0  0  0
 7  0      0 118616  43800 2095808   0    0     0    80 13133 19158 41 55 4 0  0  0
 5  0      0 117916  43800 2096212   0    0     0     0 13068 18372 42 54 3 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 116740  43816 2096520   0    0     0   160 13100 16734 46 53 2 0  0  0
11  0      0 115316  43836 2096888   0    0     0   312 12363 15653 45 48 6 0  0  0
 2  0      0 114172  43836 2097240   0    0     0    56 12909 16343 45 52 4 0  0  0
 7  0      0 112048  43844 2097600   0    0     0    84 13896 18843 42 52 6 0  0  0
 3  0      0 107428  43844 2097980   0    0     0    24 11999 16342 42 55 2 0  0  0
10  0      0 106308  43844 2098256   0    0     0     0 14412 22483 42 52 6 0  0  0
 3  0      0 103956  43844 2098624   0    0     0    28 13497 20211 42 53 5 0  0  0
14  0      0 101864  43844 2098976   0    0     0    16 10616 16069 44 54 2 0  0  0
 7  0      0 114324  43788 2089752   0    0     0    60 12885 20151 42 52 6 0  0  0
11  0      0 112068  43796 2090084   0    0     0    52 11941 19792 43 55 2 0  0  0
 5  0      0 109780  43796 2090424   0    0     0    24 11971 17661 42 56 2 0  0  0
 3  0      0 108096  43796 2090624   0    0     0    32 12405 15782 44 51 6 0  0  0
 6  0      0 133812  43796 2091088   0    0     0    28 14488 20475 41 55 4 0  0  0
 2  0      0 131944  43796 2091412   0    0     0    24 11093 18020 45 52 3 0  0  0
 6  0      0 130100  43804 2091704   0    0     0    76 11075 16754 41 55 4 0  0  0
 9  0      0 126612  43812 2092108   0    0     4   472 11266 17240 42 56 3 0  0  0
 9  1      0 123732  43844 2092420   0    0     0   336 12034 17171 45 52 3 0  0  0
 8  0      0 119576  43844 2092776   0    0     0    52 10870 15455 43 55 2 0  0  0
 3  0      0 117284  43844 2093128   0    0     0     4 11628 18592 42 55 3 0  0  0
 6  0      0 113792  43852 2093468   0    0     0    84 11700 17095 41 57 3 0  0  0
 9  0      0 111276  43852 2093788   0    0     0  8272 11649 17145 40 57 4 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 106940  43852 2094108   0    0     0    60 11724 17113 41 58 2 0  0  0
 3  0      0 104900  43852 2094472   0    0     0     4 12099 17106 40 55 5 0  0  0
 3  0      0 102136  43852 2094816   0    0     0    44 12372 16581 41 56 3 0  0  0
 5  0      0 126924  43860 2095140   0    0     0    84 11515 17036 42 54 4 0  0  0
 8  0      0 125976  43868 2095444   0    0     0  2060 12437 15938 43 54 3 0  0  0
 3  0      0 124292  43868 2095756   0    0     0     0 10753 14408 42 54 4 0  0  0
 4  0      0 122604  43868 2096088   0    0     0    40 12151 17305 44 52 4 0  0  0
 7  0      0 120396  43868 2096408   0    0     0     0 11665 14740 44 53 3 0  0  0
 5  0      0 115028  43868 2096796   0    0     0    48 13003 16785 40 55 4 0  0  0
 5  0      0 113412  43900 2097100   0    0     0   244 13763 21116 43 51 5 0  0  0
 5  0      0 112464  43912 2097440   0    0     0   288 12743 19742 45 51 4 0  0  0
 5  0      0 110816  43916 2097772   0    0     0    60 12781 15342 46 53 2 0  0  0
 3  0      0 109644  43916 2098068   0    0     0    32 13105 18321 43 52 5 0  0  0
 6  0      0 109196  43916 2098400   0    0     0    52 12873 15987 41 54 5 0  0  0
 7  0      0 107580  43916 2098780   0    0     0    24 14295 20739 42 54 4 0  0  0
 8  0      0 106156  43916 2099064   0    0     0     0 12543 17165 41 55 5 0  0  0
 3  0      0 104540  43924 2099460   0    0     0    80 12490 16894 47 48 4 0  0  0
 6  0      0 104092  43924 2099792   0    0     0     0 13023 16976 42 51 7 0  0  0
 4  0      0 102276  43924 2100088   0    0     0    28 12034 17822 40 57 3 0  0  0
 4  0      0 119576  43924 2100280   0    0     0    20 13329 19885 40 56 3 0  0  0
 6  0      0 116488  43924 2100628   0    0     0    60 13656 21055 40 57 3 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 115344  43932 2100960   0    0     0    28 13348 18875 40 54 6 0  0  0
 9  0      0 114168  43940 2101308   0    0     0    48 13249 19203 43 53 4 0  0  0
 6  0      0 113216  43940 2101676   0    0     0    48 12623 15124 43 50 7 0  0  0
