procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 343056  32780 2240920   0    0    66   385 6173   40 11 28 61  0  0  0
 0  0      0 332068  32780 2241012   0    0     0     0 2942 3473 11 14 75  0  0  0
 2  0      0 332068  32788 2241012   0    0     0    16 2261 2365  2  6 92  0  0  0
 0  0      0 331312  32788 2241016   0    0     0     0 2603 3516  3  7 90  0  0  0
 1  0      0 328300  32788 2241016   0    0     0   444 3261 4465  4 10 87  0  0  0
 0  0      0 326312  32788 2241032   0    0     0     0 3948 5748 11 13 76  0  0  0
 5  0      0 326060  32788 2241032   0    0     0     0 3637 4920  6 15 79  0  0  0
 3  0      0 325556  32788 2241032   0    0     0     0 3828 5553  6 14 80  0  0  0
 1  0      0 324548  32796 2241036   0    0     0    16 4533 7064  8 20 72  0  0  0
 1  0      0 322560  32796 2241036   0    0     0    52 4302 7262 10 22 67  0  0  0
 0  0      0 320292  32796 2241040   0    0     0     0 5170 7894 10 24 66  0  0  0
 5  0      0 318780  32796 2241040   0    0     0     0 5205 7368  8 22 70  0  0  0
 2  0      0 317268  32796 2241040   0    0     0     0 5170 7412  8 17 74  0  0  0
 3  0      0 316008  32804 2241036   0    0     0    28 5403 7654  7 23 69  0  0  0
 1  0      0 313236  32804 2241048   0    0     0    64 6220 9893  9 25 66  0  0  0
 4  0      0 312732  32804 2241052   0    0     0     0 6538 10030 15 31 54 0  0  0
 8  0      0 312732  32804 2241052   0    0     0     0 5879 8037 10 25 65  0  0  0
 2  0      0 311724  32804 2241056   0    0     0     0 6337 9801  9 32 59  0  0  0
 6  0      0 311224  32804 2241060   0    0     0     0 5080 6956  9 26 65  0  0  0
14  0      0 307948  32808 2241064   0    0     0    40 6516 9998 11 34 56  0  0  0
13  0      0 306940  32808 2241068   0    0     0     0 6274 9300 16 39 44  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 305428  32808 2241072   0    0     0     0 7244 11309 13 37 51 0  0  0
 6  0      0 303668  32808 2241072   0    0     0     0 7006 9756 11 33 56  0  0  0
 2  0      0 303668  32808 2241076   0    0     0     0 6941 10541 14 33 53 0  0  0
 5  0      0 303164  32816 2241080   0    0     0    48 7511 10986 14 34 52 0  0  0
