Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,16681,0,52,87.81641261902497,4.254184000274108,1521.2919900004636,10014.374797674,55.56661146423867,0.0,52,74,94,110,170,270,490,950,1300,1400,1500
GET,GET /?currency=X,13403,0,52,90.41652065954904,5.07115199980035,1573.6983000006148,10014.218607774379,44.64716104880948,0.0,52,76,96,110,170,270,540,950,1400,1500,1600
GET,GET /?product_id=X,1652,0,50,79.81048021610066,4.656969000279787,1394.967326999904,10015.940072639225,5.5030299226018995,0.0,51,72,92,100,160,220,340,750,1200,1400,1400
GET,GET /cart,6622,0,33,51.9984487295389,6.945156999790925,869.1607089995159,12212.403956508608,22.058755537209308,0.0,33,44,55,65,95,150,270,390,740,870,870
GET,GET /product/[id],11564,0,28,44.15635096454349,6.856279000203358,889.555239999936,7576.297388446904,38.52120945821329,0.0,28,38,47,54,84,130,220,310,680,760,890
POST,POST /cart (add),8198,0,55,82.2178482543267,14.265269999668817,1314.8985950001588,17343.78055623323,27.308619434316206,0.0,55,72,87,99,160,230,400,530,1000,1300,1300
POST,POST /cart (pre-checkout add),3354,0,54,84.02982012522175,14.311740999801259,1320.529175000047,17298.866726296957,11.172616440924195,0.0,54,71,85,98,150,240,420,590,1200,1300,1300
POST,POST /cart/checkout,3353,0,29,34.702561142561485,10.190844999669935,380.6464099998266,6431.776617954071,11.169285309009787,0.0,29,34,39,43,56,71,100,150,220,380,380
POST,POST /cart/empty,3388,0,65,105.94942069982055,9.01366899961431,1671.271021999928,9971.384887839433,11.285874926014065,0.0,65,91,110,130,200,300,610,1000,1500,1700,1700
POST,POST /setCurrency,5006,0,66,100.8973478565669,8.773362999818346,1614.1793970000435,10016.20535357571,16.675646363526095,0.0,66,92,110,130,190,280,470,770,1300,1600,1600
,Aggregated,73221,0,45,76.47788576442302,4.254184000274108,1671.271021999928,10816.489367804319,243.908809904863,0.0,45,65,82,95,150,230,370,640,1300,1500,1700
