procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1036260 92160 1916768   0    0     2   730 3567   30  4  3 93  0  0  0
 0  0      0 1036008 92160 1916768   0    0     0    44 3771 6919  2  1 97  0  0  0
 0  0      0 1033992 92164 1916764   0    0     0    28 3096 4978  2  2 97  0  0  0
 0  0      0 1033768 92164 1916772   0    0     0    76 3868 6645  4  2 95  0  0  0
 0  0      0 1033768 92184 1916788   0    0     0   196 4101 8027  4  2 94  0  0  0
 0  0      0 1033768 92184 1916788   0    0     0    24 3231 5027  2  2 96  0  0  0
11  0      0 1033516 92184 1916788   0    0     0    40 3813 6180  3  2 95  0  0  0
 0  0      0 1033012 92184 1916820   0    0     0    20 3462 5348  2  3 95  0  0  0
 0  0      0 1033012 92188 1916816   0    0     0    28 3231 4614  2  2 96  0  0  0
 0  0      0 1033012 92188 1916840   0    0     0    24 3332 5608  3  2 95  1  0  0
 0  0      0 1032760 92188 1916840   0    0     0   552 3265 5635  3  1 96  0  0  0
 0  0      0 1032508 92188 1916840   0    0     0    36 3410 6251  2  2 96  0  0  0
 7  0      0 1030492 92188 1916840   0    0     0     4 3194 5665  5  2 93  0  0  0
 0  0      0 1030492 92188 1916856   0    0     0    96 3735 6394  4  2 94  0  0  0
 0  0      0 1030268 92188 1916860   0    0     0    28 3165 5186  3  2 96  0  0  0
 1  0      0 1030268 92188 1916860   0    0     0    24 3414 5648  3  2 95  0  0  0
 0  0      0 1030268 92188 1916860   0    0     0    32 3383 5166  2  1 97  0  0  0
 0  0      0 1030268 92188 1916864   0    0     0    52 4414 8539  5  4 91  0  0  0
 0  0      0 1030268 92188 1916864   0    0     0     0 3103 4534  2  2 96  0  0  0
 0  0      0 1030016 92200 1916872   0    0     0   152 4271 7486  6  3 90  0  0  0
 0  0      0 1030016 92200 1916880   0    0     0     0 3440 5278  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1030016 92200 1916880   0    0     0    44 3280 5584  3  2 95  0  0  0
 0  0      0 1029260 92200 1916880   0    0     0     0 3578 5197  2  2 96  0  0  0
 0  0      0 1029260 92200 1916880   0    0     0    60 3816 7903  5  3 92  0  0  0
 1  0      0 1029260 92204 1916884   0    0     0    76 3232 4855  2  2 96  0  0  0
 1  0      0 1029260 92204 1916884   0    0     0    24 3493 5789  2  2 96  0  0  0
 0  0      0 1029260 92204 1916884   0    0     0    32 3273 5244  4  2 95  0  0  0
 3  0      0 1029260 92208 1916888   0    0     0    52 4248 7339  5  4 92  0  0  0
 1  0      0 1029260 92208 1916888   0    0     0     0 3152 4960  2  2 97  0  0  0
 1  0      0 1029260 92208 1916888   0    0     0    28 3382 5085  3  3 94  0  0  0
 0  0      0 1029260 92208 1916888   0    0     0     0 3183 5714  2  1 98  0  0  0
 0  0      0 1029260 92208 1916888   0    0     0    44 3162 4594  3  2 95  0  0  0
 0  0      0 1029260 92212 1916884   0    0     0    16 3294 5273  2  2 96  0  0  0
 1  0      0 1029260 92220 1916892   0    0     0    52 4070 7776  5  3 93  0  0  0
 0  0      0 1029260 92228 1916892   0    0     0   200 3830 6894  3  4 93  1  0  0
 0  0      0 1029260 92228 1916900   0    0     0    24 3412 5460  2  2 96  0  0  0
