procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 1368340 10404 1397828   0    0 24297   628 7414   87 16 20 64  0  0  0
 6  0      0 1304760 10404 1398100   0    0   128     0 9422 22071 28 35 37 0  0  0
 0  0      0 1239872 10404 1398500   0    0     8    32 8670 20122 21 29 51 0  0  0
 5  0      0 1177168 10404 1398800   0    0     0    56 9111 21857 36 47 17 0  0  0
 5  0      0 1113708 10412 1399368   0    0   100    64 14426 36859 32 42 26 0 0  0
 6  0      0 1048172 10412 1399852   0    0     4     0 15532 40500 37 51 12 0 0  0
 8  0      0 984812  10412 1400384   0    0    20    48 14127 40577 38 48 14 0 0  0
27  0      0 924388  10412 1400560   0    0     0     0 11135 26265 36 50 14 0 0  0
16  0      0 859340  10412 1401416   0    0     0    44 16742 45156 40 52 9 0  0  0
20  0      0 804584  10524 1402068   0    0   256    28 13556 35613 37 53 10 0 0  0
51  0      0 752448  10532 1402508   0    0    44    56 12602 32173 41 57 2 0  0  0
25  0      0 712552  10532 1403076   0    0   124     0 10225 25186 42 57 1 0  0  0
14  0      0 629476  10532 1404560   0    0    64    28 12727 32242 42 57 1 0  0  0
15  0      0 570100  10532 1405328   0    0    68    64 14791 39224 40 58 2 0  0  0
20  0      0 539884  10540 1405616   0    0     0    60 11143 26973 40 58 2 0  0  0
14  0      0 484804  10556 1406540   0    0   180   204 12933 33980 46 54 0 0  0  0
19  0      0 422520  10564 1407340   0    0     0    96 13069 36746 44 55 1 0  0  0
18  0      0 369276  10564 1408288   0    0    92  5464 12563 32639 42 57 1 0  0  0
17  0      0 308112  10564 1409304   0    0   112    40 12520 34739 44 56 0 0  0  0
23  0      0 262876  10596 1410196   0    0   140     0 12317 32774 41 58 1 0  0  0
16  0      0 206704  10604 1411296   0    0   128    88 13155 35946 42 57 1 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
21  0      0 151068  10604 1412064   0    0     0     0 16440 43526 43 55 2 0  0  0
41  0      0 119744   9856 1369808   0    0   296    48 12447 34470 45 55 1 0  0  0
38  0      0 114272   9212 1335248   0    0   848  2436 11807 29688 43 56 1 0  0  0
28  0      0 122196   8784 1301472   0    0  9756  1508 10674 24944 41 58 2 0  0  0
20  0      0 122636   8180 1275436   0    0  5300     0 10019 25953 41 58 1 0  0  0
21  0      0 118180   5064 1208928   0    0  9044    28 11870 28292 43 57 1 0  0  0
37  0      0 120692   3688 1155544   0    0 30296  1532 9616 20152 38 62 0  0  0  0
31  0      0 119972   2424 1109000   0    0 147116  464 12307 22554 26 72 1 1  0  0
38  0      0 119364   2244 1070164   0    0 306448   72 11654 11733 19 81 0 0  0  0
29  2      0 114772   2256 1058764   0    0 648212    0 16175 12462 6 94 0  0  0  0
33  1      0 114596   2256 1059912   0    0 655612    0 15491 11858 4 96 0  1  0  0
38  3      0 114056   2256 1059892   0    0 704892    0 17552 12741 2 98 0  0  0  0
41  1      0 115096   2248 1058332   0    0 715324    0 17021 12644 3 97 0  0  0  0
40  1      0 109420   2248 1061932   0    0 704132    0 17234 12466 3 97 0  0  0  0
42  1      0 112096   2304 1059516   0    0 656900  112 15538 11806 3 96 1  0  0  0
44  1      0 114760   2312 1057052   0    0 692252    0 16743 12435 3 97 0  0  0  0
38  3      0 112628   2276 1058216   0    0 711276    0 17457 13096 4 96 0  1  0  0
40  0      0 114704   2276 1058560   0    0 706604    0 17352 12555 3 97 0  0  0  0
39  5      0 111304   2280 1062080   0    0 618288    0 15206 11061 4 95 0  1  0  0
41  2      0 112908   2304 1059924   0    0 695120  224 17416 12851 3 97 0  0  0  0
43  1      0 109312   2668 1062852   0    0 601704  232 15443 13066 7 93 0  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
38  4      0 112752   2340 1059340   0    0 712388    0 17331 13091 2 98 0  0  0  0
39  3      0 112112   2340 1060908   0    0 663056    0 16451 11445 2 98 0  0  0  0
42  0      0 113108   2296 1059268   0    0 686960    0 17140 12285 3 97 0  0  0  0
43  1      0 112300   2312 1059984   0    0 636116    0 15670 11638 3 97 0  0  0  0
37  5      0 109744   2328 1062876   0    0 688140    0 16958 12551 4 96 0  0  0  0
44  0      0 113552   2300 1058588   0    0 595748  228 14550 10888 3 97 0  0  0  0
